cohort,rank,player,position,current_level,method,score,matched_on,disambiguated_by,mlbam_id,matched_name,mlb_debut_date
2022,1,Bobby Witt Jr.,SS/3B,MLB,exact,1.0,full_name,unique,677951,Bobby Witt Jr.,2022-04-07
2022,2,Adley Rutschman,C,MLB,exact,1.0,full_name,unique,668939,Adley Rutschman,2022-05-21
2022,3,Julio Rodríguez,OF,MLB,exact_disambiguated,1.0,"first_last_from_parts,full_name",position+level,677594,Julio Rodríguez,2022-04-08
2022,4,Spencer Torkelson,1B/3B,MLB,exact,1.0,full_name,unique,679529,Spencer Torkelson,2022-04-08
2022,5,Riley Greene,OF,MLB,exact,1.0,full_name,unique,682985,Riley Greene,2022-06-18
2022,6,Grayson Rodriguez,RHP,MLB,exact,1.0,full_name,unique,680570,Grayson Rodriguez,2023-04-05
2022,7,Gabriel Moreno,C,MLB,exact,1.0,full_name,unique,672515,Gabriel Moreno,2022-06-11
2022,8,Anthony Volpe,SS,MLB,exact,1.0,full_name,unique,683011,Anthony Volpe,2023-03-30
2022,9,CJ Abrams,SS,MLB,exact,1.0,full_name,unique,682928,CJ Abrams,2022-04-08
2022,10,Francisco Alvarez,C,MLB,exact,1.0,full_name,unique,682626,Francisco Alvarez,2022-09-30
2022,11,Noelvi Marte,3B/SS,MLB,exact,1.0,full_name,unique,682622,Noelvi Marte,2023-08-19
2022,12,Shane Baz,RHP,MLB,exact,1.0,full_name,unique,669358,Shane Baz,2021-09-20
2022,13,Marco Luciano,SS,AAA,exact,1.0,full_name,unique,682617,Marco Luciano,2023-07-26
2022,14,Marcelo Mayer,INF,MLB,exact,1.0,full_name,unique,691785,Marcelo Mayer,2025-05-24
2022,15,Brennen Davis,OF,AAA,exact,1.0,full_name,unique,680695,Brennen Davis,
2022,16,Triston Casas,1B,MLB,exact,1.0,full_name,unique,671213,Triston Casas,2022-09-04
2022,17,Jack Leiter,RHP,MLB,exact,1.0,full_name,unique,683004,Jack Leiter,2024-04-18
2022,18,Alek Thomas,OF,AAA,exact,1.0,full_name,unique,677950,Alek Thomas,2022-05-08
2022,19,Corbin Carroll,OF,MLB,exact,1.0,full_name,unique,682998,Corbin Carroll,2022-08-29
2022,20,Nick Gonzales,2B/SS,MLB,exact,1.0,full_name,unique,693304,Nick Gonzales,2023-06-23
2022,21,Reid Detmers,LHP,MLB,exact,1.0,full_name,unique,672282,Reid Detmers,2021-08-01
2022,22,Hunter Greene,RHP,MLB,exact,1.0,full_name,unique,668881,Hunter Greene,2022-04-10
2022,23,Jordan Lawlar,INF,MLB,exact,1.0,full_name,unique,691783,Jordan Lawlar,2023-09-07
2022,24,Henry Davis,C,MLB,exact,1.0,full_name,unique,680779,Henry Davis,2023-06-19
2022,25,Kahlil Watson,OF,AAA,exact,1.0,full_name,unique,696135,Kahlil Watson,2026-06-18
2022,26,Oneil Cruz,SS,MLB,exact,1.0,full_name,unique,665833,Oneil Cruz,2021-10-02
2022,27,Brett Baty,3B/OF,MLB,exact,1.0,full_name,unique,683146,Brett Baty,2022-08-17
2022,28,Diego Cartaya,C,A+,exact,1.0,full_name,unique,682616,Diego Cartaya,
2022,29,Josh Jung,3B,MLB,exact,1.0,full_name,unique,673962,Josh Jung,2022-09-09
2022,30,Jordan Walker,OF/3B,MLB,exact,1.0,full_name,unique,691023,Jordan Walker,2023-03-30
2022,31,Joey Bart,C,MLB,exact,1.0,full_name,unique,663698,Joey Bart,2020-08-20
2022,32,George Kirby,RHP,MLB,exact,1.0,full_name,unique,669923,George Kirby,2022-05-08
2022,33,Nolan Gorman,2B/3B,AAA,exact,1.0,full_name,unique,669357,Nolan Gorman,2022-05-20
2022,34,Edward Cabrera,RHP,AAA,exact,1.0,full_name,unique,665795,Edward Cabrera,2021-08-25
2022,35,Max Meyer,RHP,MLB,exact,1.0,full_name,unique,676974,Max Meyer,2022-07-16
2022,36,Zac Veen,OF,AAA,exact,1.0,full_name,unique,691728,Zac Veen,2025-04-08
2022,37,Robert Hassell III,OF,ROK,exact,1.0,full_name,unique,690987,Robert Hassell III,2025-05-22
2022,38,Orelvis Martinez,2B/3B,AAA,exact,1.0,full_name,unique,682619,Orelvis Martinez,2024-06-21
2022,39,Cade Cavalli,RHP,MLB,exact,1.0,full_name,unique,676917,Cade Cavalli,2022-08-26
2022,40,Jackson Jobe,RHP,AA,exact,1.0,full_name,unique,695549,Jackson Jobe,2024-09-25
2022,41,Eury Pérez,RHP,MLB,exact,1.0,full_name,unique,691587,Eury Pérez,2023-05-12
2022,42,Nick Lodolo,LHP,MLB,exact,1.0,full_name,unique,666157,Nick Lodolo,2022-04-13
2022,43,Matthew Liberatore,LHP,MLB,exact,1.0,full_name,unique,669461,Matthew Liberatore,2022-05-21
2022,44,Luis Campusano,C,MLB,exact,1.0,full_name,unique,669134,Luis Campusano,2020-09-04
2022,45,Bryson Stott,SS,MLB,exact,1.0,full_name,unique,681082,Bryson Stott,2022-04-08
2022,46,Royce Lewis,SS,MLB,exact,1.0,full_name,unique,668904,Royce Lewis,2022-05-06
2022,47,George Valera,OF,AAA,exact,1.0,full_name,unique,671655,George Valera,2025-09-01
2022,48,Cole Winn,RHP,MLB,exact,1.0,full_name,unique,668390,Cole Winn,2024-04-14
2022,49,Brady House,3B,MLB,exact,1.0,full_name,unique,691781,Brady House,2025-06-16
2022,50,Josh Lowe,OF,MLB,exact,1.0,full_name,unique,666139,Josh Lowe,2021-09-08
2022,51,MJ Melendez,C,AAA,exact,1.0,full_name,unique,669004,MJ Melendez,2022-05-03
2022,52,Austin Martin,SS/OF/2B,MLB,exact,1.0,full_name,unique,668885,Austin Martin,2024-03-30
2022,53,Daniel Espino,RHP,AAA,exact,1.0,full_name,unique,682982,Daniel Espino,2026-06-17
2022,54,Quinn Priester,RHP,MLB,exact,1.0,full_name,unique,682990,Quinn Priester,2023-07-17
2022,55,Nick Yorke,2B/OF,AAA,exact,1.0,full_name,unique,694377,Nick Yorke,2024-09-16
2022,56,Tyler Soderstrom,C/1B,MLB,exact,1.0,full_name,unique,691016,Tyler Soderstrom,2023-07-14
2022,57,Bobby Miller,RHP,MLB,exact,1.0,full_name,unique,676272,Bobby Miller,2023-05-23
2022,58,Sixto Sánchez,RHP,AAA,exact,1.0,full_name,unique,664350,Sixto Sánchez,2020-08-22
2022,59,Shea Langeliers,C,MLB,exact,1.0,full_name,unique,669127,Shea Langeliers,2022-08-16
2022,60,Oswald Peraza,SS/2B,MLB,exact,1.0,full_name,unique,672724,Oswald Peraza,2022-09-02
2022,61,Jasson Domínguez,OF,MLB,exact,1.0,full_name,unique,691176,Jasson Domínguez,2023-09-01
2022,62,Nick Pratto,1B,AAA,exact,1.0,full_name,unique,668472,Nick Pratto,2022-07-14
2022,63,Luis Matos,OF,AAA,exact,1.0,full_name,unique,682641,Luis Matos,2023-06-14
2022,64,Gunnar Henderson,3B/SS,MLB,exact,1.0,full_name,unique,683002,Gunnar Henderson,2022-08-31
2022,65,Michael Harris II,OF,MLB,exact,1.0,full_name,unique,671739,Michael Harris II,2022-05-28
2022,66,Colton Cowser,OF,MLB,exact,1.0,full_name,unique,681297,Colton Cowser,2023-07-05
2022,67,Michael Busch,INF,MLB,exact,1.0,full_name,unique,683737,Michael Busch,2023-04-25
2022,68,Andy Pages,OF,MLB,exact,1.0,full_name,unique,681624,Andy Pages,2024-04-16
2022,69,JJ Bleday,OF,MLB,exact,1.0,full_name,unique,668709,JJ Bleday,2022-07-23
2022,70,Sal Frelick,OF,MLB,exact,1.0,full_name,unique,686217,Sal Frelick,2023-07-22
2022,71,Roansy Contreras,RHP,MLB,exact,1.0,full_name,unique,672710,Roansy Contreras,2021-09-29
2022,72,Asa Lacy,LHP,AA,exact,1.0,full_name,unique,669370,Asa Lacy,
2022,73,Gabriel Arias,INF,MLB,exact_disambiguated,1.0,full_name,position+level,672356,Gabriel Arias,2022-04-20
2022,74,Taj Bradley,RHP,MLB,exact,1.0,full_name,unique,671737,Taj Bradley,2023-04-12
2022,75,Kyle Harrison,LHP,A+,exact,1.0,full_name,unique,690986,Kyle Harrison,2023-08-22
2022,76,Elly De La Cruz,SS/3B,MLB,exact,1.0,full_name,unique,682829,Elly De La Cruz,2023-06-06
2022,77,Vidal Bruján,OF/2B/SS,AAA,exact,1.0,full_name,unique,660644,Vidal Bruján,2021-07-07
2022,78,Ronny Mauricio,2B/SS/OF,AAA,exact,1.0,full_name,unique,677595,Ronny Mauricio,2023-09-01
2022,79,Liover Peguero,SS,AAA,exact,1.0,full_name,unique,678894,Liover Peguero,2022-06-18
2022,80,Jordan Groshans,3B/SS,AA,exact,1.0,full_name,unique,677954,Jordan Groshans,2022-09-13
2022,81,Mick Abel,RHP,MLB,exact,1.0,full_name,unique,690953,Mick Abel,2025-05-18
2022,82,Emerson Hancock,RHP,MLB,exact,1.0,full_name,unique,676106,Emerson Hancock,2023-08-09
2022,83,Ezequiel Duran,INF,MLB,exact,1.0,full_name,unique,677649,Ezequiel Duran,2022-06-04
2022,84,Brayan Rocchio,SS/2B,MLB,exact,1.0,full_name,unique,677587,Brayan Rocchio,2023-05-16
2022,85,Jarren Duran,OF,MLB,exact,1.0,full_name,unique,680776,Jarren Duran,2021-07-17
2022,86,MacKenzie Gore,LHP,MLB,exact,1.0,full_name,unique,669022,MacKenzie Gore,2022-04-15
2022,87,Matt McLain,SS/2B,MLB,exact,1.0,full_name,unique,680574,Matt McLain,2023-05-15
2022,88,Tyler Freeman,SS/2B,MLB,exact,1.0,full_name,unique,671289,Tyler Freeman,2022-08-03
2022,89,Justin Foscue,2B/1B,MLB,exact,1.0,full_name,unique,679822,Justin Foscue,2024-04-05
2022,90,DL Hall,LHP,MLB,exact,1.0,full_name,unique,669084,DL Hall,2022-08-13
2022,91,Greg Jones,OF/SS,AAA,manual_override,1.0,full_name,curated,675659,Greg Jones,2024-06-06
2022,92,Cristian Hernández,SS/2B,AA,exact_disambiguated,1.0,full_name,position,694183,Cristian Hernández,
2022,93,Harry Ford,C,MLB,exact,1.0,full_name,unique,695670,Harry Ford,2025-09-05
2022,94,Miguel Vargas,3B/OF/1B,MLB,exact_disambiguated,1.0,full_name,position+level,678246,Miguel Vargas,2022-08-03
2022,95,Jose F Miranda,3B/2B/1B,-,exact,1.0,full_name,unique,669304,Jose F Miranda,2022-05-02
2022,96,Austin Wells,C,MLB,exact,1.0,full_name,unique,669224,Austin Wells,2023-09-01
2022,97,Joe Ryan,RHP,MLB,exact,1.0,full_name,unique,657746,Joe Ryan,2021-09-01
2022,98,Matt Brash,RHP,MLB,exact,1.0,full_name,unique,666374,Matt Brash,2022-04-12
2022,99,Blake Walston,LHP,MLB,exact,1.0,full_name,unique,686796,Blake Walston,2024-05-01
2022,100,Joey Wiemer,OF,AAA,exact,1.0,full_name,unique,686894,Joey Wiemer,2023-04-01
2023,1,Gunnar Henderson,3B/SS,MLB,exact,1.0,full_name,unique,683002,Gunnar Henderson,2022-08-31
2023,2,Corbin Carroll,OF,MLB,exact,1.0,full_name,unique,682998,Corbin Carroll,2022-08-29
2023,3,Francisco Alvarez,C,MLB,exact,1.0,full_name,unique,682626,Francisco Alvarez,2022-09-30
2023,4,Jordan Walker,OF/3B,MLB,exact,1.0,full_name,unique,691023,Jordan Walker,2023-03-30
2023,5,Anthony Volpe,SS,MLB,exact,1.0,full_name,unique,683011,Anthony Volpe,2023-03-30
2023,6,Andrew Painter,RHP,MLB,exact,1.0,full_name,unique,691725,Andrew Painter,2026-03-31
2023,7,Grayson Rodriguez,RHP,MLB,exact,1.0,full_name,unique,680570,Grayson Rodriguez,2023-04-05
2023,8,Jackson Chourio,OF,MLB,exact,1.0,full_name,unique,694192,Jackson Chourio,2024-03-29
2023,9,Marcelo Mayer,INF,MLB,exact,1.0,full_name,unique,691785,Marcelo Mayer,2025-05-24
2023,10,Elly De La Cruz,SS/3B,MLB,exact,1.0,full_name,unique,682829,Elly De La Cruz,2023-06-06
2023,11,Jordan Lawlar,INF,MLB,exact,1.0,full_name,unique,691783,Jordan Lawlar,2023-09-07
2023,12,Jackson Holliday,2B/SS,MLB,exact,1.0,full_name,unique,702616,Jackson Holliday,2024-04-10
