mlbam_id,current_position,current_position_games,current_position_season,all_positions_played
660644,SS,31,2026,SS:31;2B:11;3B:7;LF:1
663698,C,81,2026,C:81;DH:7
665833,CF,57,2026,CF:57;DH:5
666139,LF,60,2026,LF:60;CF:18;RF:15;DH:5
666310,C,58,2026,C:58;DH:15
668472,1B,100,2026,1B:100;LF:10;DH:10;P:1
668709,LF,86,2026,LF:86;DH:12;RF:7
668885,RF,49,2026,RF:49;LF:45;CF:8
668904,3B,47,2026,3B:47;1B:41;2B:9;DH:2
668939,C,51,2026,C:51;DH:16
669004,LF,37,2026,LF:37;DH:31;RF:17
669127,C,74,2026,C:74;DH:21
669134,C,35,2026,C:35;DH:1
669224,C,79,2026,C:79
669304,1B,16,2026,1B:16;DH:7;3B:5;2B:1
669357,3B,68,2026,3B:68;DH:22
671213,1B,28,2025,1B:28
671289,RF,59,2026,RF:59;2B:13;DH:9;CF:1
671655,RF,41,2026,RF:41;LF:15;DH:13
671739,CF,95,2026,CF:95;DH:3;LF:2
672012,LF,45,2026,LF:45;DH:16;1B:9;RF:3
672356,3B,27,2026,3B:27;SS:11;2B:3;1B:1;RF:1;DH:1
672515,C,71,2026,C:71;DH:13;3B:1
672724,2B,61,2026,2B:61;3B:27;SS:7;DH:3;1B:1
673962,3B,92,2026,3B:92
675659,RF,56,2026,RF:56;LF:11;2B:6;CF:6;DH:5;SS:2
676059,3B,58,2025,3B:58;2B:19;DH:19
676475,1B,106,2026,1B:106;DH:3
677008,RF,35,2026,RF:35;DH:13;LF:12
677587,SS,99,2026,SS:99;2B:10
677594,CF,95,2026,CF:95;DH:6
677595,SS,28,2026,SS:28;3B:11;2B:6;DH:4
677649,SS,46,2026,SS:46;3B:24;2B:23;LF:18;RF:12;1B:1;CF:1
677950,CF,61,2026,CF:61;LF:5;DH:4
677951,SS,92,2026,SS:92;DH:2
677954,3B,58,2026,3B:58;DH:18;1B:4
678246,3B,93,2026,3B:93;1B:26;DH:5
678554,3B,48,2026,3B:48;1B:34;2B:14;DH:5
678662,SS,101,2026,SS:101
678882,CF,104,2026,CF:104
678894,2B,37,2026,2B:37;1B:27;DH:6;SS:1
679529,1B,106,2026,1B:106;DH:1
679822,2B,56,2026,2B:56;DH:15;1B:14
680574,2B,62,2026,2B:62;SS:25;CF:3;DH:1
680695,RF,27,2026,RF:27;LF:9;DH:9;CF:7
680776,LF,89,2026,LF:89;CF:8;DH:8
680779,C,69,2026,C:69;DH:1
681082,2B,105,2026,2B:105
681297,CF,51,2026,CF:51;RF:26;LF:10;DH:2
681351,C,77,2026,C:77
681624,CF,107,2026,CF:107;DH:1
682616,C,10,2026,C:10
682617,2B,69,2026,2B:69;DH:8;SS:1
682619,2B,79,2025,2B:79;DH:14;3B:7
682622,RF,59,2026,RF:59;CF:28;DH:3
682626,C,62,2026,C:62;DH:15
682634,RF,30,2026,RF:30;CF:20;LF:14;DH:11
682641,RF,33,2026,RF:33;LF:21;DH:4;CF:3
682668,SS,44,2026,SS:44;CF:31;P:2;DH:2;2B:1
682829,SS,90,2026,SS:90;DH:4
682848,C,57,2026,C:57;DH:13;1B:3
682928,SS,104,2026,SS:104;DH:3
682985,LF,100,2026,LF:100;DH:10
682987,CF,55,2026,CF:55;RF:14;LF:13;DH:10
682998,RF,104,2026,RF:104;DH:3
683002,SS,103,2026,SS:103;DH:7
683011,SS,74,2026,SS:74
683146,3B,51,2026,3B:51;RF:21;2B:20;1B:16;DH:3;SS:1
683357,RF,71,2026,RF:71;DH:10
683737,1B,110,2026,1B:110
683953,2B,98,2026,2B:98;DH:6
686217,RF,87,2026,RF:87;DH:1
686611,RF,48,2026,RF:48;CF:47;LF:16;DH:5
686797,3B,61,2026,3B:61;SS:48
686894,RF,34,2026,RF:34;CF:19;LF:13;DH:3;P:2
686948,C,64,2026,C:64;DH:34
687221,C,58,2026,C:58;1B:9;DH:4
687263,SS,106,2026,SS:106
687401,SS,69,2026,SS:69;3B:29;2B:1
687551,CF,77,2026,CF:77;LF:23;RF:7;DH:1
687597,LF,25,2026,LF:25;RF:18;CF:5;DH:4
688457,RF,41,2026,RF:41;LF:33;1B:11;DH:10
690291,1B,39,2026,1B:39;2B:26;3B:25;DH:6
690976,2B,72,2026,2B:72;3B:9;SS:5
690987,CF,24,2026,CF:24;RF:16;LF:13;DH:8
690993,3B,58,2026,3B:58;DH:30;1B:8
691003,1B,37,2026,1B:37;DH:3
691006,C,50,2026,C:50;DH:22
691011,C,56,2026,C:56;DH:3;1B:1
691016,LF,93,2026,LF:93;DH:4
691019,C,24,2026,C:24;DH:3
691023,RF,104,2026,RF:104;DH:5
691026,SS,102,2026,SS:102
691176,RF,42,2026,RF:42;LF:22;DH:12;CF:4
691181,CF,12,2026,CF:12;RF:10;DH:5;LF:2
691182,2B,73,2026,2B:73;SS:3;LF:2;DH:1
691267,RF,69,2026,RF:69;CF:16;DH:9
691406,3B,109,2026,3B:109;1B:1
691620,C,46,2026,C:46;DH:43
691718,CF,111,2026,CF:111
691723,3B,64,2026,3B:64;DH:15;1B:9
691728,RF,30,2026,RF:30;LF:28;CF:20;DH:17
691775,1B,56,2026,1B:56;LF:21;RF:17;DH:7
691781,3B,88,2026,3B:88;DH:11
691783,LF,11,2026,LF:11;CF:11;DH:2
691785,2B,45,2026,2B:45;SS:24
692225,RF,39,2026,RF:39;LF:23;CF:13;DH:8
692585,RF,74,2026,RF:74;DH:12;LF:2
693049,RF,113,2025,RF:113;DH:42;LF:35;1B:11;CF:1
693304,3B,88,2026,3B:88;2B:22;SS:4
694183,SS,60,2026,SS:60;2B:24;3B:1
694192,LF,74,2026,LF:74;CF:14;RF:1
694194,CF,45,2026,CF:45;RF:21;LF:6;DH:5
694197,SS,68,2026,SS:68;3B:14;2B:8;DH:2
694208,DH,62,2026,DH:62;C:23;1B:1
694212,C,46,2026,C:46;DH:31;1B:7
694224,1B,32,2026,1B:32;LF:22;RF:21;DH:15
694351,3B,31,2026,3B:31;RF:17;DH:11;LF:8;1B:4;2B:3
694371,LF,46,2026,LF:46;CF:22;2B:18;DH:3
694377,3B,29,2026,3B:29;RF:14;1B:5;LF:4;DH:3;2B:1
694384,1B,89,2026,1B:89;DH:1
694497,CF,92,2026,CF:92
694671,LF,46,2026,LF:46;CF:15;DH:9
694966,3B,62,2026,3B:62;2B:16;DH:6;SS:5
695490,2B,59,2026,2B:59;SS:37;3B:4
695506,RF,73,2026,RF:73;1B:26;DH:7
695578,RF,79,2026,RF:79;DH:24;LF:17
695600,C,67,2026,C:67;DH:37
695657,SS,87,2026,SS:87;3B:33;DH:3
695670,C,54,2026,C:54;DH:12
695681,2B,35,2026,2B:35;3B:28;LF:15;DH:4
695731,RF,60,2026,RF:60;CF:32;DH:8
696135,CF,44,2026,CF:44;RF:33;LF:9;DH:5
699073,C,38,2026,C:38;DH:23
700246,SS,72,2026,SS:72;2B:12;3B:9;DH:2
700337,C,62,2026,C:62;DH:8
700932,1B,81,2026,1B:81;DH:17
701327,CF,42,2026,CF:42;RF:25;LF:13;DH:9
701350,LF,16,2026,LF:16;DH:13;RF:1
701358,RF,110,2026,RF:110;CF:1
701398,1B,68,2026,1B:68;3B:41;DH:10;2B:6
701538,CF,106,2026,CF:106
701649,2B,48,2026,2B:48;3B:24;CF:9;LF:6;DH:4;RF:1
701762,1B,94,2026,1B:94;DH:3
702222,CF,99,2026,CF:99
702253,3B,71,2026,3B:71;1B:17;DH:13
702258,CF,81,2026,CF:81;DH:1
702261,2B,84,2026,2B:84;DH:4
702284,2B,109,2026,2B:109;SS:3
702518,3B,53,2026,3B:53;CF:15;SS:12;DH:2
702616,2B,68,2026,2B:68;3B:7;DH:4;SS:2
702693,CF,50,2026,CF:50;RF:15;DH:10;LF:6
703149,3B,67,2026,3B:67;2B:15;DH:7;SS:4
703155,RF,91,2026,RF:91;DH:7
703197,LF,42,2026,LF:42;2B:37;DH:5
703601,CF,90,2026,CF:90;DH:1
800050,RF,50,2026,RF:50;DH:41
800060,1B,52,2026,1B:52;DH:29
800473,3B,56,2026,3B:56;SS:26;DH:6;2B:2
800522,C,10,2026,C:10;1B:7;DH:4
800543,RF,36,2026,RF:36;LF:33;DH:23
800614,SS,63,2026,SS:63;DH:17
802139,2B,104,2026,2B:104;SS:3
804606,SS,62,2026,SS:62;DH:3
805779,SS,70,2026,SS:70;DH:4
805795,SS,103,2025,SS:103;DH:13
805796,SS,49,2026,SS:49;DH:12
805805,CF,40,2026,CF:40;DH:10;RF:4;LF:2
805808,SS,74,2026,SS:74;3B:61;DH:1
805810,C,50,2026,C:50;DH:37
805811,DH,57,2026,DH:57;1B:42
806068,SS,77,2026,SS:77;3B:20;DH:1
806071,CF,93,2026,CF:93
806198,SS,94,2026,SS:94;DH:1
806953,C,46,2026,C:46;DH:42
806956,C,57,2026,C:57;DH:15
806958,SS,87,2026,SS:87;DH:2
806964,DH,14,2026,DH:14
806965,SS,48,2026,SS:48;2B:16;DH:2
807712,2B,76,2026,2B:76;CF:15;RF:15
807713,RF,26,2026,RF:26;DH:12;2B:7;3B:5;1B:3;CF:3;LF:2
808265,SS,61,2026,SS:61;DH:11;2B:7
809707,1B,52,2026,1B:52;RF:40;DH:4
814307,LF,39,2026,LF:39;RF:34;DH:21
815394,CF,46,2026,CF:46;RF:17;LF:12;DH:9
815888,SS,63,2026,SS:63;3B:15;DH:6
815908,SS,83,2026,SS:83;DH:7
