sport_id,season,group,n_teams,atBats,baseOnBalls,battersFaced,caughtStealing,doubles,earnedRuns,gamesPlayed,gamesStarted,hitBatsmen,hitByPitch,hits,homeRuns,inningsPitched,intentionalWalks,plateAppearances,runs,sacFlies,stolenBases,strikeOuts,triples
11,2021,hitting,30,127987,14520,,887,6626,,3850,,,2009,32518,4761,,230,145997,19679,1049,2752,,746
11,2021,pitching,30,,14520,145997,,,17768,3850,3850,2009,,,4761,33280.3,,,19679,,,34762,
11,2022,hitting,30,150155,17620,,1142,7986,,4474,,,2315,38472,5341,,212,171720,23473,1248,4161,,862
11,2022,pitching,30,,17620,171720,,,21180,4474,4474,2315,,,5341,39006.0,,,23473,,,39811,
11,2023,hitting,30,149891,20967,,1247,8145,,4448,,,2311,39666,5583,,211,174963,25347,1406,4391,,925
11,2023,pitching,30,,20967,174963,,,22998,4448,4448,2311,,,5583,38731.7,,,25347,,,39151,
11,2024,hitting,30,149490,18848,,1249,7955,,4464,,,2200,38747,5150,,207,172462,23737,1351,4621,,851
11,2024,pitching,30,,18848,172462,,,21424,4464,4464,2200,,,5150,38812.0,,,23737,,,39455,
11,2025,hitting,30,148484,18747,,1319,7677,,4464,,,2254,38290,4922,,193,171483,23381,1366,4988,,881
11,2025,pitching,30,,18747,171483,,,21141,4464,4464,2254,,,4922,38670.3,,,23381,,,38803,
11,2026,hitting,30,104754,13887,,962,5409,,3146,,,1605,27221,3575,,134,121822,17030,1044,3657,,594
11,2026,pitching,30,,13887,121822,,,15426,3146,3146,1605,,,3575,27258.3,,,17030,,,27127,
12,2019,hitting,30,135267,13312,,1489,6334,,4154,,,1892,32837,3115,,336,152421,17024,1107,3147,,859
12,2019,pitching,30,,13312,152421,,,14823,4154,4154,1892,,,3115,35989.7,,,17024,,,35410,
12,2021,hitting,30,113815,12448,,1135,5484,,3482,,,2021,27764,3815,,138,129504,16423,878,2760,,593
12,2021,pitching,30,,12448,129504,,,14541,3482,3482,2021,,,3815,29965.0,,,16423,,,33021,
12,2022,hitting,30,136041,16326,,1259,6914,,4100,,,2518,33936,4604,,178,156510,20768,1196,4307,,702
12,2022,pitching,30,,16326,156510,,,18568,4100,4100,2518,,,4604,35699.7,,,20768,,,38275,
12,2023,hitting,30,135441,17068,,1384,6509,,4108,,,2516,33123,4298,,154,156702,20393,1194,4807,,739
12,2023,pitching,30,,17068,156702,,,18048,4108,4108,2516,,,4298,35772.3,,,20393,,,38417,
12,2024,hitting,30,133902,14795,,1432,6224,,4106,,,2371,31638,3269,,133,152819,17824,1177,4938,,653
12,2024,pitching,30,,14795,152819,,,15632,4106,4106,2371,,,3269,35759.3,,,17824,,,36777,
12,2025,hitting,30,132903,15782,,1438,5948,,4112,,,2075,31263,3064,,124,152649,17625,1242,4973,,739
12,2025,pitching,30,,15782,152649,,,15520,4112,4112,2075,,,3064,35619.7,,,17625,,,35830,
12,2026,hitting,30,97292,12461,,1153,4759,,2968,,,1657,24012,3441,,124,112776,15443,883,4476,,539
12,2026,pitching,30,,12461,112776,,,13790,2968,2968,1657,,,3441,25699.3,,,15443,,,27539,
13,2017,hitting,30,137731,12830,,1616,6849,,4122,,,1924,35084,2800,,338,154629,17824,1117,3342,,1041
13,2017,pitching,30,,12826,154577,,,15459,4122,4122,1923,,,2798,36118.7,,,17815,,,33949,
13,2018,hitting,30,135517,13366,,1516,6775,,4110,,,2008,34315,2816,,245,152910,18077,1183,3112,,993
13,2018,pitching,30,,13366,152910,,,15559,4110,4110,2008,,,2816,35558.0,,,18077,,,33741,
