sport_id,season,avg_age,n_players
11,2021,27.24,2090
11,2022,27.3,2185
11,2023,27.41,2093
11,2024,27.46,2032
11,2025,27.46,2088
11,2026,27.66,1812
12,2019,25.1,1634
12,2021,25.1,1677
12,2022,25.03,1754
12,2023,25.05,1767
12,2024,25.08,1669
12,2025,25.15,1742
12,2026,25.23,1550
13,2017,24.02,1729
13,2018,23.86,1759
13,2019,23.84,1779
13,2021,23.63,1764
13,2022,23.6,1741
13,2023,23.66,1746
13,2024,23.58,1719
13,2025,23.61,1766
13,2026,23.74,1599
14,2017,22.58,1509
14,2018,22.47,1524
14,2019,22.44,1553
14,2021,22.57,1984
14,2022,22.59,2100
14,2023,22.6,2026
14,2024,22.47,2037
14,2025,22.42,2079
14,2026,22.69,1822
15,2016,22.07,1096
15,2017,22.07,1131
15,2018,22.13,1149
15,2019,22.04,1197
16,2015,20.52,3613
16,2016,20.66,3736
16,2017,20.59,3749
16,2018,20.34,4014
16,2019,20.15,3611
16,2021,20.59,3931
16,2022,20.64,4033
16,2023,20.58,3993
16,2024,20.4,3455
16,2025,20.35,3436
16,2026,20.6,4155
