variant_name,expected_mlbam_id,position,current_level,variant_type,provenance
Leo De Vries,815888,SS,A+,canonical,"MLB useName form; appears this way in the 2026 Top 100 list"
Leodalis De Vries,815888,SS,A+,legal_first_name,"legal firstName in MLB data; appears this way in the prospect-callup tracker; MLB's own /people/search returns ZERO results for this string"
JJ Wetherholt,802139,INF,MLB,canonical,"MLB useName form; appears this way in the 2022-2024 ranking lists"
J.J. Wetherholt,802139,INF,MLB,punctuated_initials,"common written form with periods"
Jonathan Wetherholt,802139,INF,MLB,legal_first_name,"legal firstName in MLB data (fullFMLName: Jonathan David Wetherholt)"
Jesús Made,815908,SS/2B,AA,canonical,"accented form as MLB stores it"
Jesus Made,815908,SS/2B,AA,accent_stripped,"accent-stripped form; must not collide with Kevin Made (691183) or Camilo Made (842856)"
Jasson Domínguez,691176,OF,MLB,canonical,"accented form as MLB stores it"
Jasson Dominguez,691176,OF,MLB,accent_stripped,"accent-stripped; four unaccented Dominguez players exist in the universe"
Ronald Acuña Jr.,660670,OF,MLB,canonical,"accented form with suffix as MLB stores it"
Ronald Acuna Jr,660670,OF,MLB,accent_stripped_suffix_unpunctuated,"accent stripped and suffix period dropped"
Ronald Acuna,660670,OF,MLB,accent_stripped_suffix_dropped,"accent stripped and suffix removed entirely"
Pete Crow-Armstrong,691718,OF,MLB,canonical,"hyphenated surname as MLB stores it"
Pete Crow Armstrong,691718,OF,MLB,hyphen_as_space,"hyphen written as a space"
AJ Smith-Shawver,700363,RHP,MLB,canonical,"hyphenated surname plus initials"
Julio Rodríguez,677594,OF,MLB,accent_distinguishes_two_real_players,"THE PRECISION TRAP: accented Julio Rodríguez (677594) is a CF in MLB; unaccented Julio Rodriguez (680588) is a DIFFERENT REAL PLAYER, a pitcher in AAA. Naive accent folding merges two distinct people; only the position tiebreaker separates them."
Julio Rodriguez,680588,RHP,AAA,accent_distinguishes_two_real_players,"the unaccented Julio Rodriguez, a genuinely different person from 677594"
Michael De La Cruz,833199,P,ROK,collision_resolved_by_position,"two real Michael De La Cruzes in rookie ball (833199 a pitcher, 834256 an outfielder); position separates them. An earlier version of this file wrongly expected a decline here, and running the test corrected that expectation."
Max Muncy,,3B,MLB,genuinely_unresolvable,"EXPECTED TO DECLINE: two real MLB players named Max Muncy (571970 and 691777), BOTH third basemen, BOTH at MLB level. Name, position, and level are all identical, so nothing this matcher reads can separate them. Declining is the only correct answer; guessing would be a coin flip presented as a result."
