cohort,rank,player,position,current_team,current_level,current_age,bats,throws
2022,1,Bobby Witt Jr.,SS/3B,Kansas City Royals,MLB,26,R,R
2022,2,Adley Rutschman,C,Baltimore Orioles,MLB,28,S,R
2022,3,Julio Rodríguez,OF,Seattle Mariners,MLB,25,R,R
2022,4,Spencer Torkelson,1B/3B,Detroit Tigers,MLB,26,R,R
2022,5,Riley Greene,OF,Detroit Tigers,MLB,25,L,L
2022,6,Grayson Rodriguez,RHP,Los Angeles Angels,MLB,26,L,R
2022,7,Gabriel Moreno,C,Arizona Diamondbacks,MLB,26,R,R
2022,8,Anthony Volpe,SS,New York Yankees,MLB,25,R,R
2022,9,CJ Abrams,SS,Washington Nationals,MLB,25,L,R
2022,10,Francisco Alvarez,C,New York Mets,MLB,24,R,R
2022,11,Noelvi Marte,3B/SS,Cincinnati Reds,MLB,24,R,R
2022,12,Shane Baz,RHP,Baltimore Orioles,MLB,27,R,R
2022,13,Marco Luciano,SS,New York Yankees,AAA,24,R,R
2022,14,Marcelo Mayer,INF,Boston Red Sox,MLB,23,L,R
2022,15,Brennen Davis,OF,Seattle Mariners,AAA,26,R,R
2022,16,Triston Casas,1B,Boston Red Sox,MLB,26,L,R
2022,17,Jack Leiter,RHP,Texas Rangers,MLB,26,R,R
2022,18,Alek Thomas,OF,Los Angeles Dodgers,AAA,26,L,L
2022,19,Corbin Carroll,OF,Arizona Diamondbacks,MLB,25,L,L
2022,20,Nick Gonzales,2B/SS,Pittsburgh Pirates,MLB,27,R,R
2022,21,Reid Detmers,LHP,Los Angeles Angels,MLB,27,L,L
2022,22,Hunter Greene,RHP,Cincinnati Reds,MLB,26,R,R
2022,23,Jordan Lawlar,INF,Arizona Diamondbacks,MLB,24,R,R
2022,24,Henry Davis,C,Pittsburgh Pirates,MLB,26,R,R
2022,25,Kahlil Watson,OF,Cleveland Guardians,AAA,23,L,R
2022,26,Oneil Cruz,SS,Pittsburgh Pirates,MLB,27,L,R
2022,27,Brett Baty,3B/OF,New York Mets,MLB,26,L,R
2022,28,Diego Cartaya,C,San Francisco Giants,A+,24,R,R
2022,29,Josh Jung,3B,Texas Rangers,MLB,28,R,R
2022,30,Jordan Walker,OF/3B,St. Louis Cardinals,MLB,24,R,R
2022,31,Joey Bart,C,Atlanta Braves,MLB,29,R,R
2022,32,George Kirby,RHP,Seattle Mariners,MLB,28,R,R
2022,33,Nolan Gorman,2B/3B,St. Louis Cardinals,AAA,26,L,R
2022,34,Edward Cabrera,RHP,Chicago Cubs,AAA,28,R,R
2022,35,Max Meyer,RHP,Miami Marlins,MLB,27,L,R
2022,36,Zac Veen,OF,Colorado Rockies,AAA,24,L,R
2022,37,Robert Hassell III,OF,Pittsburgh Pirates,ROK,24,L,L
2022,38,Orelvis Martinez,2B/3B,Washington Nationals,AAA,24,R,R
2022,39,Cade Cavalli,RHP,Washington Nationals,MLB,27,R,R
2022,40,Jackson Jobe,RHP,Detroit Tigers,AA,24,R,R
2022,41,Eury Pérez,RHP,Miami Marlins,MLB,23,R,R
2022,42,Nick Lodolo,LHP,Cincinnati Reds,MLB,28,L,L
2022,43,Matthew Liberatore,LHP,St. Louis Cardinals,MLB,26,L,L
2022,44,Luis Campusano,C,San Diego Padres,MLB,27,R,R
2022,45,Bryson Stott,SS,Philadelphia Phillies,MLB,28,L,R
2022,46,Royce Lewis,SS,Minnesota Twins,MLB,27,R,R
2022,47,George Valera,OF,Cleveland Guardians,AAA,25,L,L
2022,48,Cole Winn,RHP,Texas Rangers,MLB,26,R,R
2022,49,Brady House,3B,Washington Nationals,MLB,23,R,R
2022,50,Josh Lowe,OF,Los Angeles Angels,MLB,28,L,R
2022,51,MJ Melendez,C,New York Mets,AAA,27,L,R
2022,52,Austin Martin,SS/OF/2B,Minnesota Twins,MLB,27,R,R
2022,53,Daniel Espino,RHP,Cleveland Guardians,AAA,25,R,R
2022,54,Quinn Priester,RHP,Milwaukee Brewers,MLB,25,R,R
2022,55,Nick Yorke,2B/OF,Pittsburgh Pirates,AAA,24,R,R
2022,56,Tyler Soderstrom,C/1B,Athletics,MLB,24,L,R
2022,57,Bobby Miller,RHP,Los Angeles Dodgers,MLB,27,L,R
2022,58,Sixto Sánchez,RHP,Miami Marlins,AAA,28,R,R
2022,59,Shea Langeliers,C,Athletics,MLB,28,R,R
2022,60,Oswald Peraza,SS/2B,Los Angeles Angels,MLB,26,R,R
2022,61,Jasson Domínguez,OF,New York Yankees,MLB,23,S,R
2022,62,Nick Pratto,1B,San Diego Padres,AAA,27,L,L
2022,63,Luis Matos,OF,Milwaukee Brewers,AAA,24,R,R
2022,64,Gunnar Henderson,3B/SS,Baltimore Orioles,MLB,25,L,R
2022,65,Michael Harris II,OF,Atlanta Braves,MLB,25,L,L
2022,66,Colton Cowser,OF,Baltimore Orioles,MLB,26,L,R
2022,67,Michael Busch,INF,Chicago Cubs,MLB,28,L,R
2022,68,Andy Pages,OF,Los Angeles Dodgers,MLB,25,R,R
2022,69,JJ Bleday,OF,Cincinnati Reds,MLB,28,L,L
2022,70,Sal Frelick,OF,Milwaukee Brewers,MLB,26,L,R
2022,71,Roansy Contreras,RHP,Colorado Rockies,MLB,26,R,R
2022,72,Asa Lacy,LHP,Kansas City Royals,AA,27,L,L
2022,73,Gabriel Arias,INF,Cleveland Guardians,MLB,26,R,R
2022,74,Taj Bradley,RHP,Minnesota Twins,MLB,25,R,R
2022,75,Kyle Harrison,LHP,Milwaukee Brewers,A+,24,R,L
2022,76,Elly De La Cruz,SS/3B,Cincinnati Reds,MLB,24,S,R
2022,77,Vidal Bruján,OF/2B/SS,New York Mets,AAA,28,S,R
2022,78,Ronny Mauricio,2B/SS/OF,New York Mets,AAA,25,S,R
2022,79,Liover Peguero,SS,Philadelphia Phillies,AAA,25,R,R
2022,80,Jordan Groshans,3B/SS,Atlanta Braves,AA,26,R,R
2022,81,Mick Abel,RHP,Minnesota Twins,MLB,24,R,R
2022,82,Emerson Hancock,RHP,Seattle Mariners,MLB,27,R,R
2022,83,Ezequiel Duran,INF,Texas Rangers,MLB,27,R,R
2022,84,Brayan Rocchio,SS/2B,Cleveland Guardians,MLB,25,S,R
