level,season,avg_hitter_war_per_600pa,avg_hitter_war_per_600pa_blended
AAA,2021,1.09,0.79
AAA,2022,1.59,1.28
AAA,2023,1.52,1.2
AAA,2024,1.47,1.17
AAA,2025,1.34,1.04
AAA,2026,1.46,1.15
AA,2019,-0.94,-1.16
AA,2021,-0.04,-0.29
AA,2022,0.6,0.35
AA,2023,0.05,-0.2
AA,2024,-0.21,-0.44
AA,2025,-0.33,-0.55
AA,2026,0.51,0.24
A+,2018,-0.85,-1.04
A+,2019,-1.57,-1.76
A+,2021,-0.55,-0.78
A+,2022,-0.4,-0.61
A+,2023,-0.86,-1.07
A+,2024,-0.77,-0.97
A+,2025,-0.87,-1.07
A+,2026,-0.08,-0.32
A,2017,-1.84,-2.01
A,2018,-1.54,-1.71
A,2019,-2.11,-2.27
A,2021,-1.16,-1.35
A,2022,-0.93,-1.11
A,2023,-1.41,-1.59
A,2024,-1.29,-1.46
A,2025,-1.34,-1.51
A,2026,-0.87,-1.07
SS-A,2016,-2.28,-2.41
SS-A,2017,-2.5,-2.63
SS-A,2018,-2.17,-2.3
SS-A,2019,-2.74,-2.87
ROK,2015,-2.12,-2.25
ROK,2016,-2.5,-2.62
ROK,2017,-2.58,-2.71
ROK,2018,-2.26,-2.39
ROK,2019,-2.76,-2.89
ROK,2021,-2.31,-2.45
ROK,2022,-1.94,-2.08
ROK,2023,-2.18,-2.32
ROK,2024,-1.98,-2.12
ROK,2025,-1.98,-2.13
ROK,2026,-1.57,-1.74
