mlbam_id,player,season,n_stints,n_scored,volume,volume_all,base_war,age_credit_war,adj_war,rate_per_600,verdict,truncated
657746,Joe Ryan,2018,1,1,147,147,-0.5,0.01,-0.49,-1.99,scored,False
657746,Joe Ryan,2019,3,2,427,481,-0.31,0.32,0.01,0.01,scored,False
657746,Joe Ryan,2021,1,1,249,249,1.4,0.31,1.71,4.12,scored,True
660644,Vidal Bruján,2016,2,1,223,232,-0.94,0.54,-0.4,-1.07,scored,False
660644,Vidal Bruján,2017,1,1,302,302,-0.9,0.88,-0.03,-0.05,scored,False
660644,Vidal Bruján,2018,2,2,548,548,0.23,1.81,2.04,2.23,scored,False
660644,Vidal Bruján,2019,2,2,429,429,-0.43,2.13,1.7,2.37,scored,False
660644,Vidal Bruján,2021,1,1,216,216,0.63,0.85,1.48,4.1,scored,True
663698,Joey Bart,2018,2,1,203,228,0.34,0.13,0.47,1.38,scored,False
663698,Joey Bart,2019,2,2,338,338,0.6,0.97,1.57,2.78,scored,False
664350,Sixto Sánchez,2016,1,1,194,194,-0.94,0.56,-0.38,-1.19,scored,False
664350,Sixto Sánchez,2017,2,2,375,375,-0.66,1.63,0.97,1.56,scored,False
664350,Sixto Sánchez,2018,1,1,188,188,0.07,0.9,0.97,3.11,scored,False
664350,Sixto Sánchez,2019,2,1,411,457,-0.04,1.17,1.12,1.64,scored,False
665795,Edward Cabrera,2016,1,1,201,201,-0.87,0.43,-0.44,-1.32,scored,False
665795,Edward Cabrera,2017,1,1,165,165,-0.56,0.45,-0.11,-0.38,scored,False
665795,Edward Cabrera,2018,1,1,440,440,-1.46,1.23,-0.23,-0.32,scored,False
665795,Edward Cabrera,2019,2,2,383,383,-0.72,1.42,0.7,1.1,scored,False
665795,Edward Cabrera,2021,3,2,226,249,0.66,0.38,1.04,2.76,scored,True
665833,Oneil Cruz,2017,1,1,438,438,-1.32,1.76,0.44,0.61,scored,False
665833,Oneil Cruz,2018,1,1,443,443,0.19,1.62,1.81,2.45,scored,False
665833,Oneil Cruz,2019,3,2,281,292,0.37,1.5,1.87,3.99,scored,False
665833,Oneil Cruz,2021,2,1,273,302,1.25,1.39,2.64,5.81,scored,True
666139,Josh Lowe,2016,1,1,214,214,-0.83,0.51,-0.31,-0.87,scored,False
666139,Josh Lowe,2017,1,1,507,507,-1.69,2.04,0.35,0.41,scored,False
666139,Josh Lowe,2018,1,1,455,455,-1.07,2.39,1.32,1.74,scored,False
666139,Josh Lowe,2019,1,1,519,519,0.11,2.96,3.07,3.55,scored,False
666139,Josh Lowe,2021,1,1,412,412,2.21,1.62,3.84,5.59,scored,True
666157,Nick Lodolo,2019,1,0,0,28,0,0,0,,"insufficient_sample (0 of 28 PA+BF scored, need 100)",False
666157,Nick Lodolo,2021,2,1,173,201,0.85,0.28,1.13,3.92,scored,False
666310,Bo Naylor,2018,1,1,139,139,-0.11,0.32,0.21,0.91,scored,False
666310,Bo Naylor,2019,1,1,453,453,-0.53,1.81,1.28,1.69,scored,False
666310,Bo Naylor,2021,1,1,356,356,-0.18,2.3,2.13,3.59,scored,False
666310,Bo Naylor,2022,2,2,510,510,3.66,2.49,6.15,7.23,scored,True
666374,Matt Brash,2019,2,0,0,20,0,0,0,,"insufficient_sample (0 of 20 PA+BF scored, need 100)",False
666374,Matt Brash,2021,2,2,405,405,0.81,0.54,1.35,2.0,scored,False
