mlbam_id,player,season,level,sport_id,group,pre_debut_truncated,verdict,detail,pa,bf,g,woba,fip,native_rate,savings9,raa_mlb,wsb,rep,pos_adj,age_years,base_war,age_credit_war,adj_war
657746,Joe Ryan,2018,SS-A,15,pitching,,scored,"147 BF, 36.3 IP",0.0,147.0,12.0,,3.17,,0.53,-10.0,,5.0,,0.1,-0.497,0.01,-0.487
657746,Joe Ryan,2019,AA,12,pitching,,insufficient_sample,54 BF (need 60),0.0,54.0,3.0,,,,,,,,,,0.0,0.0,0.0
657746,Joe Ryan,2019,A+,13,pitching,,scored,"312 BF, 82.7 IP",0.0,312.0,15.0,,1.81,,1.89,-11.6,,10.7,,0.8,-0.089,0.411,0.321
657746,Joe Ryan,2019,A,14,pitching,,scored,"115 BF, 27.7 IP",0.0,115.0,6.0,,2.31,,1.43,-6.1,,3.9,,-0.6,-0.22,-0.095,-0.314
657746,Joe Ryan,2021,AAA,11,pitching,yes,scored,"249 BF, 66.0 IP",0.0,249.0,14.0,,3.21,,1.59,5.5,,8.5,,2.2,1.398,0.31,1.708
660644,Vidal Bruján,2016,SS-A,15,hitting,,insufficient_sample,9 PA (need 40),9.0,0.0,2.0,,,,,,,,,,0.0,0.0,0.0
660644,Vidal Bruján,2016,ROK,16,hitting,,scored,223 PA,223.0,0.0,49.0,0.327,,0.141,,-15.6,-0.2,7.6,-1.3,2.3,-0.938,0.54,-0.397
660644,Vidal Bruján,2017,SS-A,15,hitting,,scored,302 PA,302.0,0.0,67.0,0.351,,0.159,,-17.6,-0.0,10.3,-1.7,2.7,-0.904,0.876,-0.028
660644,Vidal Bruján,2018,A+,13,hitting,,scored,114 PA,114.0,0.0,27.0,0.432,,0.219,,1.2,0.4,3.9,-0.7,3.0,0.481,0.598,1.079
660644,Vidal Bruján,2018,A,14,hitting,,scored,434 PA,434.0,0.0,95.0,0.362,,0.163,,-16.0,1.2,14.8,-2.5,2.1,-0.248,1.209,0.961
660644,Vidal Bruján,2019,AA,12,hitting,,scored,233 PA,233.0,0.0,55.0,0.319,,0.125,,-9.5,1.0,8.0,-1.4,3.0,-0.189,1.327,1.138
660644,Vidal Bruján,2019,A+,13,hitting,,scored,196 PA,196.0,0.0,44.0,0.327,,0.133,,-9.6,1.6,6.7,-1.1,2.5,-0.243,0.802,0.559
660644,Vidal Bruján,2021,AAA,11,hitting,yes,scored,216 PA,216.0,0.0,49.0,0.351,,0.15,,-0.9,1.1,7.4,-1.3,3.0,0.625,0.852,1.477
663698,Joey Bart,2018,SS-A,15,hitting,,scored,203 PA,203.0,0.0,45.0,0.409,,0.205,,-7.0,-0.0,6.9,3.5,0.6,0.338,0.131,0.468
663698,Joey Bart,2018,ROK,16,hitting,,insufficient_sample,25 PA (need 40),25.0,0.0,6.0,,,,,,,,,,0.0,0.0,0.0
663698,Joey Bart,2019,AA,12,hitting,,scored,87 PA,87.0,0.0,22.0,0.382,,0.178,,-0.4,-0.6,3.0,1.7,2.6,0.368,0.423,0.791
663698,Joey Bart,2019,A+,13,hitting,,scored,251 PA,251.0,0.0,57.0,0.339,,0.143,,-10.8,0.1,8.6,4.4,1.3,0.231,0.544,0.776
664350,Sixto Sánchez,2016,ROK,16,pitching,,scored,"194 BF, 54.0 IP",0.0,194.0,11.0,,2.01,,1.2,-16.0,,6.6,,2.7,-0.942,0.558,-0.384
664350,Sixto Sánchez,2017,A+,13,pitching,,scored,"119 BF, 27.7 IP",0.0,119.0,5.0,,3.61,,0.24,-6.1,,4.1,,3.0,-0.203,0.535,0.332
664350,Sixto Sánchez,2017,A,14,pitching,,scored,"256 BF, 67.3 IP",0.0,256.0,13.0,,2.33,,1.49,-13.3,,8.7,,3.0,-0.458,1.1,0.642
664350,Sixto Sánchez,2018,A+,13,pitching,,scored,"188 BF, 46.7 IP",0.0,188.0,8.0,,2.69,,1.24,-5.7,,6.4,,3.0,0.071,0.902,0.973
664350,Sixto Sánchez,2019,AA,12,pitching,,scored,"411 BF, 103.0 IP",0.0,411.0,18.0,,2.67,,1.04,-14.5,,14.0,,3.0,-0.042,1.167,1.125
664350,Sixto Sánchez,2019,A+,13,pitching,,insufficient_sample,46 BF (need 60),0.0,46.0,2.0,,,,,,,,,,0.0,0.0,0.0
665795,Edward Cabrera,2016,ROK,16,pitching,,scored,"201 BF, 47.0 IP",0.0,201.0,11.0,,2.93,,0.27,-15.6,,6.9,,2.4,-0.874,0.434,-0.441
665795,Edward Cabrera,2017,SS-A,15,pitching,,scored,"165 BF, 35.7 IP",0.0,165.0,13.0,,3.4,,0.22,-11.2,,5.6,,2.9,-0.558,0.452,-0.106
665795,Edward Cabrera,2018,A,14,pitching,,scored,"440 BF, 100.3 IP",0.0,440.0,22.0,,4.5,,-0.77,-29.7,,15.0,,2.3,-1.465,1.231,-0.233
665795,Edward Cabrera,2019,AA,12,pitching,,scored,"156 BF, 38.7 IP",0.0,156.0,8.0,,4.32,,-0.61,-10.2,,5.3,,3.0,-0.491,0.438,-0.053
665795,Edward Cabrera,2019,A+,13,pitching,,scored,"227 BF, 58.0 IP",0.0,227.0,11.0,,2.32,,1.37,-10.0,,7.8,,2.6,-0.229,0.981,0.752
665795,Edward Cabrera,2021,AAA,11,pitching,yes,scored,"129 BF, 29.3 IP",0.0,129.0,6.0,,4.09,,0.72,0.2,,4.4,,3.0,0.46,0.191,0.651
665795,Edward Cabrera,2021,AA,12,pitching,yes,scored,"97 BF, 26.0 IP",0.0,97.0,5.0,,3.12,,1.25,-1.3,,3.3,,1.9,0.202,0.185,0.387
665795,Edward Cabrera,2021,A,14,pitching,yes,insufficient_sample,23 BF (need 60),0.0,23.0,2.0,,,,,,,,,,0.0,0.0,0.0
665833,Oneil Cruz,2017,A,14,hitting,,scored,438 PA,438.0,0.0,105.0,0.284,,0.098,,-32.4,-0.6,15.0,4.9,3.0,-1.317,1.759,0.442
665833,Oneil Cruz,2018,A,14,hitting,,scored,443 PA,443.0,0.0,103.0,0.353,,0.155,,-18.1,0.1,15.1,4.8,2.7,0.19,1.619,1.809
665833,Oneil Cruz,2019,AA,12,hitting,,scored,136 PA,136.0,0.0,35.0,0.326,,0.132,,-5.0,0.1,4.6,1.6,3.0,0.144,0.775,0.919
665833,Oneil Cruz,2019,A+,13,hitting,,scored,145 PA,145.0,0.0,35.0,0.365,,0.164,,-4.4,0.1,5.0,1.6,3.0,0.224,0.726,0.95
665833,Oneil Cruz,2019,ROK,16,hitting,,insufficient_sample,11 PA (need 40),11.0,0.0,3.0,,,,,,,,,,0.0,0.0,0.0
