mlbam_id,player,position,position_today,cohorts,mlb_debut_date,n_seasons_scored,first_crossing_season,first_base_crossing_season,debut_day_adj_war,debut_day_base_war,debut_day_rate_per_600,debut_reading_basis
657746,Joe Ryan,RHP,P,2022#97,2021-09-01,3,2019,2021,1.71,1.4,4.12,debut_season
660644,Vidal Bruján,OF/2B/SS,SS,2022#77,2021-07-07,5,2018,2018,1.48,0.63,4.1,debut_season
663698,Joey Bart,C,C,2022#31,2020-08-20,2,2018,2018,1.57,0.6,2.78,carried_from_2019
664350,Sixto Sánchez,RHP,P,2022#58,2020-08-22,4,2017,2018,1.12,-0.04,1.64,carried_from_2019
665795,Edward Cabrera,RHP,P,2022#34,2021-08-25,5,2019,2021,1.04,0.66,2.76,debut_season
665833,Oneil Cruz,SS,CF,2022#26,2021-10-02,4,2017,2018,2.64,1.25,5.81,debut_season
666139,Josh Lowe,OF,LF,2022#50,2021-09-08,5,2017,2019,3.84,2.21,5.59,debut_season
666157,Nick Lodolo,LHP,P,2022#42,2022-04-13,1,2021,2021,1.13,0.85,3.92,carried_from_2021
666310,Bo Naylor,C,C,2023#64,2022-10-01,4,2018,2022,6.15,3.66,7.23,debut_season
666374,Matt Brash,RHP,P,2022#98,2022-04-12,1,2021,2021,1.35,0.81,2.0,carried_from_2021
668390,Cole Winn,RHP,P,2022#48,2024-04-14,4,2021,2021,1.32,0.66,1.61,carried_from_2023_over_29pa_tuneup
668472,Nick Pratto,1B,1B,2022#62,2022-07-14,5,2018,2021,2.53,1.18,4.5,debut_season
668709,JJ Bleday,OF,LF,2022#69,2022-07-23,3,2019,2022,2.73,1.43,4.46,debut_season
668881,Hunter Greene,RHP,P,2022#22,2022-04-10,2,2018,2021,2.13,1.24,2.92,carried_from_2021
668885,Austin Martin,SS/OF/2B,RF,2022#52,2024-03-30,3,2021,2021,2.15,1.08,5.12,carried_from_2023
668904,Royce Lewis,SS,3B,2022#46;2023#45,2022-05-06,4,2017,2018,1.52,1.09,8.53,debut_season
668909,Gavin Williams,RHP,P,2023#42,2023-06-21,2,2022,2022,1.32,1.02,4.33,debut_season
668939,Adley Rutschman,C,C,2022#2,2022-05-21,2,2021,2021,5.24,3.19,5.79,carried_from_2021_over_84pa_tuneup
669004,MJ Melendez,C,DH,2022#51,2022-05-03,4,2017,2018,6.75,4.14,7.63,carried_from_2021_over_91pa_tuneup
669022,MacKenzie Gore,LHP,P,2022#86,2022-04-15,3,2018,,-0.08,-0.1,-0.29,carried_from_2021_over_16pa_tuneup
669084,DL Hall,LHP,P,2022#90;2023#97,2022-08-13,4,2018,2021,1.87,1.41,3.53,debut_season
669127,Shea Langeliers,C,C,2022#59,2022-08-16,3,2021,2021,4.31,2.87,6.43,debut_season
669134,Luis Campusano,C,C,2022#44,2020-09-04,3,2018,2019,3.97,1.53,4.89,carried_from_2019
669224,Austin Wells,C,C,2022#96,2023-09-01,3,2021,2021,2.48,1.23,3.63,debut_season
669304,Jose F Miranda,3B/2B/1B,3B,2022#95,2022-05-02,5,2018,2021,6.33,3.87,6.42,carried_from_2021_over_95pa_tuneup
669357,Nolan Gorman,2B/3B,3B,2022#33,2022-05-20,4,2018,2021,2.01,1.42,8.19,debut_season
669358,Shane Baz,RHP,P,2022#12,2021-09-20,4,2021,2021,2.06,1.39,4.15,debut_season
669370,Asa Lacy,LHP,P,2022#72,,2,2021,,,,,never_debuted
669391,Owen White,RHP,P,2023#66,2023-06-13,3,2021,2021,0.3,0.07,0.84,debut_season
669461,Matthew Liberatore,LHP,P,2022#43,2022-05-21,4,2019,2021,1.07,0.81,3.96,debut_season
669923,George Kirby,RHP,P,2022#32,2022-05-08,1,2021,2021,1.09,0.86,2.39,carried_from_2021_over_93pa_tuneup
671213,Triston Casas,1B,1B,2022#16;2023#23,2022-09-04,3,2019,2021,2.24,0.97,4.24,debut_season
671289,Tyler Freeman,SS/2B,RF,2022#88,2022-08-03,5,2017,2018,2.6,1.23,4.55,debut_season
671655,George Valera,OF,LF,2022#47;2023#51,2025-09-01,6,2021,2021,0.44,0.28,1.56,debut_season
671737,Taj Bradley,RHP,P,2022#74;2023#20,2023-04-12,3,2021,2022,3.39,2.17,3.83,carried_from_2022_over_30pa_tuneup
671739,Michael Harris II,OF,CF,2022#65,2022-05-28,3,2021,2021,2.0,0.67,6.12,debut_season
672012,Tyler Black,1B,DH,2024#46,2024-04-30,4,2022,2022,0.98,0.51,5.04,debut_season
672282,Reid Detmers,LHP,P,2022#21,2021-08-01,1,2021,2021,1.02,0.41,2.73,debut_season
672356,Gabriel Arias,INF,3B,2022#73,2022-04-20,4,2018,2019,3.56,1.66,4.42,carried_from_2021_over_40pa_tuneup
672515,Gabriel Moreno,C,C,2022#7,2022-06-11,4,2018,2018,1.44,0.84,5.74,debut_season
672710,Roansy Contreras,RHP,P,2022#71,2021-09-29,4,2018,2021,1.27,0.65,3.48,debut_season
672724,Oswald Peraza,SS/2B,2B,2022#60;2023#52,2022-09-02,5,2017,2021,3.73,2.01,5.21,debut_season
673962,Josh Jung,3B,3B,2022#29;2023#34,2022-09-09,3,2021,2021,0.91,0.5,5.17,debut_season
675659,Greg Jones,OF/SS,LF,2022#91,2024-06-06,3,2021,2021,0.75,0.25,1.6,carried_from_2023_over_100pa_tuneup
676059,Jordan Westburg,INF,3B,2023#74,2023-06-26,3,2021,2021,3.25,1.97,6.47,debut_season
676106,Emerson Hancock,RHP,P,2022#82,2023-08-09,3,2021,2021,0.95,0.6,1.39,debut_season
676272,Bobby Miller,RHP,P,2022#57;2023#24,2023-05-23,2,2021,2021,2.6,1.84,3.32,carried_from_2022_over_61pa_tuneup
676440,Tanner Bibee,RHP,P,2023#65,2023-04-26,1,2022,2022,2.25,1.67,2.62,carried_from_2022_over_61pa_tuneup
676475,Alec Burleson,OF,1B,2023#91,2022-09-08,2,2021,2021,4.43,2.55,5.65,debut_season
676917,Cade Cavalli,RHP,P,2022#39;2023#58,2022-08-26,2,2021,2021,3.15,2.52,4.72,debut_season
676974,Max Meyer,RHP,P,2022#35;2023#67,2022-07-16,2,2021,2021,1.74,1.36,4.55,debut_season
677008,Heston Kjerstad,OF,LF,2023#80;2024#32,2023-09-14,2,2022,2022,3.7,1.96,4.08,debut_season
677587,Brayan Rocchio,SS/2B,SS,2022#84;2023#75;2024#91,2023-05-16,5,2018,2021,1.76,1.07,6.45,debut_season
677594,Julio Rodríguez,OF,CF,2022#3,2022-04-08,2,2019,2019,3.93,1.8,6.94,carried_from_2021
677595,Ronny Mauricio,2B/SS/OF,SS,2022#78,2023-09-01,5,2019,2022,4.36,2.1,4.92,debut_season
677649,Ezequiel Duran,INF,SS,2022#83,2022-06-04,4,2021,2021,1.97,1.1,5.91,debut_season
677950,Alek Thomas,OF,CF,2022#18,2022-05-08,4,2019,2021,0.93,0.47,4.84,debut_season
677951,Bobby Witt Jr.,SS/3B,SS,2022#1,2022-04-07,2,2021,2021,6.33,3.4,6.73,carried_from_2021
677954,Jordan Groshans,3B/SS,SS,2022#80,2022-09-13,3,2021,2021,2.48,0.84,3.62,debut_season
678246,Miguel Vargas,3B/OF/1B,3B,2022#94;2023#37,2022-08-03,4,2018,2021,4.33,2.58,5.94,debut_season
678554,Curtis Mead,3B/2B,3B,2023#33;2024#55,2023-08-04,4,2021,2021,1.6,0.71,4.55,debut_season
678662,Ezequiel Tovar,SS,SS,2023#25,2022-09-23,3,2021,2021,3.9,1.9,7.93,debut_season
678882,Ceddanne Rafaela,OF/SS,CF,2023#86;2024#76,2023-08-28,4,2021,2022,3.69,1.43,4.57,debut_season
678894,Liover Peguero,SS,SS,2022#79,2022-06-18,2,2021,2021,2.26,0.66,5.75,debut_season
679529,Spencer Torkelson,1B/3B,1B,2022#4,2022-04-08,1,2021,2021,3.79,1.22,4.29,carried_from_2021
679822,Justin Foscue,2B/1B,2B,2022#89,2024-04-05,3,2021,2021,4.98,2.59,5.3,carried_from_2023_over_15pa_tuneup
680570,Grayson Rodriguez,RHP,P,2022#6;2023#7,2023-04-05,3,2019,2021,2.93,2.48,6.5,carried_from_2022_over_21pa_tuneup
680574,Matt McLain,SS/2B,2B,2022#87,2023-05-15,3,2021,2021,2.9,2.16,10.04,debut_season
680695,Brennen Davis,OF,CF,2022#15;2023#92,,7,2019,2021,,,,never_debuted
680776,Jarren Duran,OF,LF,2022#85,2021-07-17,3,2018,2021,1.9,1.21,5.21,debut_season
680779,Henry Davis,C,C,2022#24;2023#57,2023-06-19,2,2022,2022,2.44,1.73,6.32,debut_season
681082,Bryson Stott,SS,2B,2022#45,2022-04-08,2,2021,2021,3.18,2.01,3.92,carried_from_2021
681297,Colton Cowser,OF,CF,2022#66;2023#40;2024#19,2023-07-05,3,2021,2021,2.96,1.87,6.9,debut_season
681351,Logan O'Hoppe,C,C,2023#53,2022-09-28,4,2018,2018,5.96,3.3,8.0,debut_season
681624,Andy Pages,OF,CF,2022#68;2023#81,2024-04-16,3,2021,2021,1.3,0.51,5.48,carried_from_2023_over_73pa_tuneup
682243,Bryce Miller,RHP,P,2023#98,2023-05-02,1,2022,2022,1.18,1.08,1.36,carried_from_2022_over_85pa_tuneup
682616,Diego Cartaya,C,C,2022#28;2023#14,,5,2019,2021,,,,never_debuted
682617,Marco Luciano,SS,OF,2022#13;2023#22;2024#39,2023-07-26,4,2019,2021,2.19,0.59,5.44,debut_season
682619,Orelvis Martinez,2B/3B,2B,2022#38;2024#89,2024-06-21,5,2019,2021,2.37,1.28,5.28,debut_season
682622,Noelvi Marte,3B/SS,RF,2022#11;2023#29;2024#21,2023-08-19,3,2021,2021,3.3,1.12,5.09,debut_season
682626,Francisco Alvarez,C,C,2022#10;2023#3,2022-09-30,2,2021,2021,5.8,3.0,7.03,debut_season
682634,Kevin Alcántara,OF,DH,2023#87;2024#65,2024-09-25,5,2021,2024,3.34,0.81,4.23,debut_season
682641,Luis Matos,OF,RF,2022#63,2023-06-14,3,2021,2023,2.88,1.51,6.94,debut_season
682668,Luisangel Acuña,SS/OF/2B,SS,2023#71;2024#66,2024-09-14,4,2021,2022,2.62,0.26,2.68,debut_season
682829,Elly De La Cruz,SS/3B,SS,2022#76;2023#10,2023-06-06,3,2021,2021,2.37,1.58,7.65,debut_season
682848,Endy Rodríguez,C/1B,C,2023#55,2023-07-17,3,2021,2021,2.46,1.12,4.68,debut_season
682928,CJ Abrams,SS,SS,2022#9,2022-04-08,2,2019,2019,1.72,0.54,5.65,carried_from_2021
682982,Daniel Espino,RHP,P,2022#53;2023#16;2024#100,2026-06-17,1,2021,2021,1.72,0.29,2.76,carried_from_2021_over_87pa_tuneup
682985,Riley Greene,OF,LF,2022#5,2022-06-18,2,2021,2021,5.58,2.44,6.0,carried_from_2021_over_75pa_tuneup
682987,Spencer Jones,OF,CF,2024#84,2026-05-08,4,2023,2024,1.36,0.87,5.75,debut_season
682990,Quinn Priester,RHP,P,2022#54;2023#60,2023-07-17,4,2021,2022,2.81,2.24,4.5,debut_season
682998,Corbin Carroll,OF,RF,2022#19;2023#2,2022-08-29,2,2022,2022,5.78,3.28,8.0,debut_season
683002,Gunnar Henderson,3B/SS,SS,2022#64;2023#1,2022-08-31,3,2021,2021,6.15,3.56,7.33,debut_season
683003,Jared Jones,RHP,P,2024#62,2024-03-30,3,2021,2023,3.38,2.34,3.83,carried_from_2023
683004,Jack Leiter,RHP,P,2022#17;2023#78,2024-04-18,2,2022,2022,0.45,-0.13,0.76,carried_from_2023_over_57pa_tuneup
683011,Anthony Volpe,SS,SS,2022#8;2023#5,2023-03-30,2,2021,2021,6.14,2.38,6.18,carried_from_2022
683146,Brett Baty,3B/OF,3B,2022#27;2023#21,2022-08-17,2,2021,2021,4.38,2.25,6.67,debut_season
