txn_id,panelist_id,date,merchant_descriptor,amount,instrument
1,3,2022-01-01,STREAMBIRD.COM,11.99,card_A
2,19,2022-01-01,SNACKPOST MARKET,12.78,card_A
3,37,2022-01-01,VANTRY MKTPLC,48.45,card_C
4,40,2022-01-01,VANTRY MKTPLC,30.86,card_A
5,125,2022-01-01,VANTRY MKTPLC,114.65,card_A
6,161,2022-01-01,STREAMBIRD.COM,11.99,card_A
7,181,2022-01-01,STREAMBIRD.COM,11.99,card_A
8,206,2022-01-01,STREAMBIRD.COM,11.99,card_C
9,221,2022-01-01,GLIMMERLY,91.45,card_A
10,276,2022-01-01,STREAMBIRD.COM,11.99,card_C
11,288,2022-01-01,STREAMBIRD.COM,11.99,card_B
12,294,2022-01-01,STREAMBIRD.COM,11.99,card_C
13,319,2022-01-01,SNACKPOST MARKET,10.03,card_B
14,359,2022-01-01,GLIMMERLY,43.18,card_A
15,359,2022-01-01,GLIMMERLY,95.14,card_A
16,359,2022-01-01,VANTRY MKTPLC,115.51,card_A
17,382,2022-01-01,GLIMMERLY,69.83,card_B
18,399,2022-01-01,VANTRY MKTPLC,35.02,card_A
19,426,2022-01-01,VANTRY MKTPLC,16.69,card_A
20,436,2022-01-01,STREAMBIRD.COM,11.99,card_C
21,437,2022-01-01,STREAMBIRD.COM,11.99,card_B
22,452,2022-01-01,VANTRY MKTPLC,13.63,card_A
23,460,2022-01-01,GLIMMERLY,90.91,card_B
24,470,2022-01-01,STREAMBIRD.COM,11.99,card_B
25,501,2022-01-01,STREAMBIRD.COM,11.99,card_C
26,521,2022-01-01,VANTRY MKTPLC,10.26,card_B
27,540,2022-01-01,GLIMMERLY,97.21,card_A
28,569,2022-01-01,STREAMBIRD.COM,11.99,card_A
29,617,2022-01-01,STREAMBIRD.COM,11.99,card_B
30,642,2022-01-01,GLIMMERLY,65.70,card_B
31,653,2022-01-01,SNACKPOST MARKET,25.21,card_B
32,655,2022-01-01,SNACKPOST MARKET,20.64,card_A
33,703,2022-01-01,STREAMBIRD.COM,11.99,card_B
34,709,2022-01-01,STREAMBIRD.COM,11.99,card_A
35,712,2022-01-01,SNACKPOST MARKET,10.65,card_B
36,721,2022-01-01,VANTRY MKTPLC,108.30,card_C
37,723,2022-01-01,SNACKPOST MARKET,14.12,wallet_W
38,741,2022-01-01,STREAMBIRD.COM,11.99,wallet_W
39,742,2022-01-01,VANTRY MKTPLC,46.45,card_C
40,818,2022-01-01,VANTRY MKTPLC,13.63,card_A
41,845,2022-01-01,STREAMBIRD.COM,11.99,card_C
42,881,2022-01-01,GLIMMERLY,70.20,wallet_W
43,892,2022-01-01,SNACKPOST MARKET,54.09,card_A
44,915,2022-01-01,SNACKPOST MARKET,18.80,card_A
45,950,2022-01-01,PINEFORT CLUB,90.18,card_A
46,1010,2022-01-01,VANTRY MKTPLC,13.73,card_B
47,1010,2022-01-01,VANTRY MKTPLC,17.70,card_B
48,1030,2022-01-01,STREAMBIRD.COM,11.99,card_A
