panelist_id,age_band,income_band,region,joined_month,left_month
1,18-29,low,north,1,
2,18-29,low,north,1,21
3,18-29,low,north,1,
4,18-29,low,north,1,
5,18-29,low,north,1,
6,18-29,low,north,1,3
7,18-29,low,north,1,
8,18-29,low,north,1,
9,18-29,low,north,1,
10,18-29,low,north,1,4
11,18-29,low,north,1,20
12,18-29,low,north,1,13
13,18-29,low,north,1,
14,18-29,low,north,1,
15,18-29,low,north,1,26
16,18-29,low,north,1,
17,18-29,low,north,1,6
18,18-29,low,north,1,
19,18-29,low,north,1,
20,18-29,low,north,1,14
21,18-29,low,north,1,
22,18-29,low,north,1,27
23,18-29,low,north,1,
24,18-29,low,north,1,
25,18-29,low,north,1,19
26,18-29,low,north,1,
27,18-29,low,north,1,
28,18-29,low,north,1,
29,18-29,low,north,1,
30,18-29,low,north,1,22
31,18-29,low,north,1,
32,18-29,low,north,1,14
33,18-29,low,north,1,
34,18-29,low,north,1,24
35,18-29,low,north,1,
36,18-29,low,north,1,30
37,18-29,low,north,1,
38,18-29,low,north,1,
39,18-29,low,north,1,32
40,18-29,low,north,1,
41,18-29,low,north,1,22
42,18-29,low,north,1,13
43,18-29,low,north,1,
44,18-29,low,north,1,
45,18-29,low,north,1,20
46,18-29,low,north,1,4
47,18-29,low,north,1,18
48,18-29,low,north,1,10
49,18-29,low,north,1,
50,18-29,low,north,1,
51,18-29,low,north,1,21
52,18-29,low,north,1,
53,18-29,low,north,1,22
54,18-29,low,north,1,4
55,18-29,low,north,1,
56,18-29,low,north,1,
57,18-29,low,north,1,
58,18-29,low,north,1,
59,18-29,low,north,1,
60,18-29,low,north,1,33
61,18-29,low,north,1,12
62,18-29,low,north,1,24
63,18-29,low,north,1,
64,18-29,low,north,1,
65,18-29,low,north,1,
66,18-29,low,north,1,
67,18-29,low,north,1,
68,18-29,low,north,1,
69,18-29,low,north,1,
70,18-29,low,north,1,
71,18-29,low,north,1,
72,18-29,low,north,1,
73,18-29,low,north,1,
74,18-29,low,north,1,12
75,18-29,low,north,1,21
76,18-29,low,north,1,
77,18-29,low,north,1,22
78,18-29,low,north,1,
79,18-29,low,north,1,
80,18-29,low,north,1,
81,18-29,low,north,1,22
82,18-29,low,north,1,16
83,18-29,low,north,1,20
84,18-29,low,north,1,
85,18-29,low,north,1,
86,18-29,low,north,1,
87,18-29,low,north,1,26
88,18-29,low,north,1,20
89,18-29,low,north,1,
90,18-29,low,north,1,24
91,18-29,low,north,1,
92,18-29,low,north,1,
93,18-29,low,north,1,
94,18-29,low,north,1,
95,18-29,low,north,1,18
96,18-29,low,north,1,11
97,18-29,low,north,1,
98,18-29,low,north,1,26
99,18-29,low,north,1,
100,18-29,low,north,1,
101,18-29,low,north,1,24
102,18-29,low,north,1,
103,18-29,low,north,1,
104,18-29,low,north,1,
105,18-29,low,north,1,
106,18-29,low,north,1,
107,18-29,low,north,1,
108,18-29,low,north,1,15
109,18-29,low,north,1,
110,18-29,low,north,1,11
111,18-29,low,north,1,
112,18-29,low,north,1,
113,18-29,low,north,1,
114,18-29,low,north,1,3
115,18-29,low,north,1,19
116,18-29,low,north,1,21
117,18-29,low,north,1,
118,18-29,low,north,1,
119,18-29,low,north,1,
120,18-29,low,north,1,
121,18-29,low,north,1,19
122,18-29,low,north,1,10
123,18-29,low,north,1,29
124,18-29,low,north,1,
125,18-29,low,north,1,13
126,18-29,low,north,1,
127,18-29,low,north,1,
128,18-29,low,north,1,
129,18-29,low,north,1,32
130,18-29,low,north,1,
131,18-29,low,north,1,
132,18-29,low,north,1,
133,18-29,low,north,1,
134,18-29,low,north,1,
135,18-29,low,north,1,
136,18-29,low,north,1,3
137,18-29,low,north,1,33
138,18-29,low,north,1,18
139,18-29,low,north,1,
140,18-29,low,north,1,12
141,18-29,low,north,1,
142,18-29,low,north,1,
143,18-29,low,north,1,
144,18-29,low,north,1,
145,18-29,low,north,1,
146,18-29,low,north,1,10
147,18-29,low,north,1,
148,18-29,low,north,1,
149,18-29,low,north,1,
150,18-29,low,north,1,11
151,18-29,low,north,1,
152,18-29,low,north,1,
153,18-29,low,north,1,
154,18-29,low,north,1,11
155,18-29,low,north,1,5
156,18-29,low,north,1,
157,18-29,low,north,1,5
158,18-29,low,north,1,
159,18-29,low,north,1,
160,18-29,low,north,1,
161,18-29,low,north,1,
162,18-29,low,north,1,5
163,18-29,low,north,1,
164,18-29,low,north,1,
165,18-29,low,north,1,
166,18-29,low,north,1,
167,18-29,low,north,1,2
168,18-29,low,north,1,
169,18-29,low,north,1,9
170,18-29,low,north,1,
171,18-29,low,north,1,15
172,18-29,low,north,1,
173,18-29,low,north,1,
174,18-29,low,north,1,
175,18-29,low,north,1,
176,18-29,low,north,1,
177,18-29,low,north,1,
178,18-29,low,north,1,32
179,18-29,low,north,1,6
180,18-29,low,north,1,
181,18-29,low,north,1,
182,18-29,low,north,1,12
183,18-29,low,north,1,
184,18-29,low,north,1,34
185,18-29,low,north,1,11
186,18-29,low,north,1,
187,18-29,low,north,1,
188,18-29,low,north,1,19
