posting_id,vendor_id,title,posted_date,closed_date,location
P0000001,V0003,Support Team Lead,2023-03-30,2023-05-03,eu
P0000002,V0003,Developer Advocate,2023-02-01,2023-04-28,us
P0000003,V0003,Sales Director,2023-01-05,2023-02-18,apac
P0000004,V0003,Sales Engineer,2023-02-11,2023-04-15,remote
P0000005,V0003,Channel Partner Manager,2023-01-18,2023-04-02,us
P0000006,V0003,Senior Software Engineer,2023-03-24,2023-06-16,us
P0000007,V0003,Engineering Manager,2023-02-11,2023-05-06,eu
P0000008,V0003,Site Reliability Engineer,2023-01-27,2023-03-29,apac
P0000009,V0003,Platform Engineer,2023-06-08,2023-07-24,us
P0000010,V0003,Technical Support Engineer,2023-06-19,2023-07-20,remote
P0000011,V0003,Customer Success Manager,2023-05-05,2023-08-02,us
P0000012,V0003,Product Manager,2023-05-14,2023-08-02,eu
P0000013,V0003,Senior Software Engineer,2023-06-29,2023-08-09,us
P0000014,V0003,Senior Software Engineer,2023-04-06,2023-06-23,eu
P0000015,V0003,Machine Learning Engineer,2023-04-06,2023-06-13,remote
P0000016,V0003,Data Engineer,2023-05-22,2023-08-07,apac
P0000017,V0003,Staff Engineer,2023-08-26,2023-10-05,us
P0000018,V0003,Staff Engineer,2023-08-28,2023-10-21,apac
P0000019,V0003,Software Engineer,2023-07-01,2023-09-15,eu
P0000020,V0003,Marketing Manager,2023-08-07,2023-10-30,us
P0000021,V0003,Data Engineer,2023-09-29,2023-12-08,apac
P0000022,V0003,Enterprise Account Executive,2023-07-13,2023-09-05,apac
P0000023,V0003,Financial Analyst,2023-08-04,2023-10-08,apac
P0000024,V0003,Backend Engineer,2023-08-25,2023-10-11,apac
P0000025,V0003,QA Engineer,2023-07-02,2023-08-01,remote
P0000026,V0003,Frontend Engineer,2023-11-27,2024-01-28,us
P0000027,V0003,Frontend Engineer,2023-11-24,2024-02-21,us
P0000028,V0003,Site Reliability Engineer,2023-12-05,2024-02-06,us
P0000029,V0003,Technical Support Engineer,2023-12-05,2024-01-07,us
P0000030,V0003,Infrastructure Engineer,2023-11-22,2023-12-30,us
P0000031,V0003,Machine Learning Engineer,2023-10-18,2023-11-18,remote
P0000032,V0003,Support Team Lead,2023-10-26,2023-12-13,us
P0000033,V0003,Engineering Manager,2023-11-02,2023-12-25,remote
P0000034,V0003,Sales Director,2023-11-15,2023-12-16,apac
P0000035,V0003,Site Reliability Engineer,2024-02-21,2024-05-13,apac
P0000036,V0003,Recruiter,2024-03-27,2024-05-03,us
P0000037,V0003,Frontend Engineer,2024-02-02,2024-04-15,remote
P0000038,V0003,Sales Development Representative,2024-01-22,2024-04-02,eu
P0000039,V0003,Data Analyst,2024-01-20,2024-03-18,apac
P0000040,V0003,Platform Engineer,2024-01-10,2024-02-24,remote
P0000041,V0003,Financial Analyst,2024-03-09,2024-04-20,apac
P0000042,V0003,Staff Engineer,2024-03-10,2024-04-22,eu
P0000043,V0003,People Operations Partner,2024-01-16,2024-03-17,us
P0000044,V0003,Backend Engineer,2024-01-19,2024-03-06,apac
P0000045,V0003,Sales Engineer,2024-04-23,2024-06-09,apac
P0000046,V0003,Security Engineer,2024-05-17,2024-06-16,remote
P0000047,V0003,QA Engineer,2024-05-23,2024-06-23,apac
P0000048,V0003,Infrastructure Engineer,2024-06-02,2024-07-28,apac
P0000049,V0003,Engineering Manager,2024-04-11,2024-06-12,eu
P0000050,V0003,Backend Engineer,2024-06-26,2024-08-04,apac
P0000051,V0003,Software Engineer,2024-04-27,2024-06-26,apac
P0000052,V0003,Backend Engineer,2024-05-30,2024-07-05,eu
P0000053,V0003,Infrastructure Engineer,2024-04-14,2024-07-09,eu
P0000054,V0003,Support Team Lead,2024-04-16,2024-05-25,us
P0000055,V0003,Security Engineer,2024-06-09,2024-08-29,us
P0000056,V0003,Sales Engineer,2024-08-03,2024-09-29,apac
P0000057,V0003,Staff Engineer,2024-08-02,2024-10-24,eu
P0000058,V0003,Support Team Lead,2024-09-29,2024-10-30,apac
P0000059,V0003,Data Analyst,2024-08-04,2024-09-19,eu
P0000060,V0003,General Counsel,2024-09-13,2024-12-11,apac
P0000061,V0003,QA Engineer,2024-08-27,2024-09-30,remote
P0000062,V0003,Security Engineer,2024-09-12,2024-11-05,remote
P0000063,V0003,Product Manager,2024-08-17,2024-10-01,eu
P0000064,V0003,Engineering Manager,2024-07-28,2024-10-14,remote
P0000065,V0003,Channel Partner Manager,2024-07-02,2024-08-14,us
P0000066,V0003,Platform Engineer,2024-08-06,2024-10-26,remote
P0000067,V0003,Technical Support Engineer,2024-07-13,2024-09-16,us
P0000068,V0003,Data Analyst,2024-12-11,2025-02-09,eu
P0000069,V0003,Engineering Manager,2024-10-27,2024-12-21,remote
P0000070,V0003,Product Manager,2024-11-13,2025-01-29,eu
P0000071,V0003,Software Engineer,2024-11-05,2025-01-05,apac
P0000072,V0003,Help Desk Analyst,2024-10-29,2024-12-04,apac
P0000073,V0003,Customer Support Specialist,2024-11-01,2024-12-03,remote
P0000074,V0003,Senior Software Engineer,2024-12-27,2025-03-08,apac
P0000075,V0003,Recruiter,2024-11-26,2025-01-11,eu
P0000076,V0003,Platform Engineer,2024-10-28,2024-12-18,us
P0000077,V0003,Operations Manager,2024-10-29,2024-12-03,apac
P0000078,V0003,Data Analyst,2024-11-10,2025-01-25,us
P0000079,V0003,Technical Support Engineer,2024-12-12,2025-02-28,us
P0000080,V0003,Software Engineer,2024-11-27,2025-01-11,apac
P0000081,V0003,Site Reliability Engineer,2024-10-31,2024-12-27,apac
P0000082,V0003,QA Engineer,2025-02-20,2025-04-03,apac
P0000083,V0003,Customer Success Manager,2025-02-26,2025-04-10,eu
P0000084,V0003,QA Engineer,2025-02-10,2025-04-20,apac
P0000085,V0003,Staff Engineer,2025-01-25,2025-03-09,remote
P0000086,V0003,Machine Learning Engineer,2025-02-03,2025-04-03,us
P0000087,V0003,Machine Learning Engineer,2025-03-25,2025-05-26,apac
P0000088,V0003,Marketing Manager,2025-02-21,2025-05-16,eu
P0000089,V0003,General Counsel,2025-01-13,2025-03-19,remote
P0000090,V0003,Security Engineer,2025-01-03,2025-02-26,us
P0000091,V0003,Security Engineer,2025-01-18,2025-04-18,eu
P0000092,V0003,Recruiter,2025-01-26,2025-03-07,remote
P0000093,V0003,General Counsel,2025-03-14,2025-05-28,remote
P0000094,V0003,Senior Software Engineer,2025-01-16,2025-03-27,us
P0000095,V0003,Solutions Engineer,2025-06-16,2025-09-10,eu
P0000096,V0003,Support Engineering Manager,2025-06-24,2025-08-01,eu
P0000097,V0003,Support Engineering Manager,2025-06-04,2025-07-15,remote
P0000098,V0003,Infrastructure Engineer,2025-06-24,2025-07-25,us
P0000099,V0003,Marketing Manager,2025-06-02,2025-08-30,eu
P0000100,V0003,Help Desk Analyst,2025-04-07,2025-06-14,apac
P0000101,V0003,Senior Software Engineer,2025-04-08,2025-06-07,remote
P0000102,V0003,Implementation Specialist,2025-04-30,2025-07-02,us
P0000103,V0003,Platform Engineer,2025-05-07,2025-07-20,apac
P0000104,V0003,Engineering Manager,2025-04-10,2025-06-01,remote
P0000105,V0003,Infrastructure Engineer,2025-06-15,2025-07-15,eu
P0000106,V0003,Staff Engineer,2025-06-15,2025-08-03,us
P0000107,V0003,Software Engineer,2025-06-08,2025-08-04,us
P0000108,V0003,Implementation Specialist,2025-05-11,2025-07-26,apac
P0000109,V0003,Implementation Specialist,2025-09-14,2025-11-27,us
P0000110,V0003,Senior Software Engineer,2025-08-03,2025-09-30,eu
P0000111,V0003,Enterprise Account Executive,2025-07-25,2025-10-10,apac
P0000112,V0003,Security Engineer,2025-07-11,2025-09-16,apac
P0000113,V0003,Backend Engineer,2025-08-15,2025-10-21,remote
P0000114,V0003,Machine Learning Engineer,2025-09-12,2025-10-15,apac
P0000115,V0003,Machine Learning Engineer,2025-07-30,2025-10-28,remote
P0000116,V0003,Customer Success Engineer,2025-07-22,2025-09-01,remote
P0000117,V0003,QA Engineer,2025-09-19,2025-11-14,eu
P0000118,V0003,Account Executive,2025-09-28,2025-10-30,eu
P0000119,V0003,Customer Success Engineer,2025-09-18,2025-11-07,remote
P0000120,V0003,General Counsel,2025-08-17,2025-10-25,us
P0000121,V0003,Infrastructure Engineer,2025-07-09,2025-08-13,apac
P0000122,V0003,Software Engineer,2025-07-19,2025-10-12,us
P0000123,V0003,Solutions Engineer,2025-09-13,2025-11-07,eu
P0000124,V0003,Backend Engineer,2025-07-04,2025-08-05,eu
P0000125,V0003,Recruiter,2025-10-30,,remote
P0000126,V0003,Senior Software Engineer,2025-11-10,,us
P0000127,V0003,Platform Engineer,2025-10-14,2025-12-24,apac
P0000128,V0003,Senior Software Engineer,2025-10-20,2025-12-18,eu
P0000129,V0003,Customer Success Engineer,2025-10-02,2025-11-05,eu
P0000130,V0003,Platform Engineer,2025-11-16,,apac
P0000131,V0003,Regional Sales Manager,2025-12-01,,apac
P0000132,V0003,Technical Support Engineer,2025-11-04,2025-12-17,apac
P0000133,V0003,Software Engineer,2025-12-09,,eu
P0000134,V0003,Marketing Manager,2025-11-23,,us
P0000135,V0003,Security Engineer,2025-11-05,2025-12-30,apac
P0000136,V0003,Backend Engineer,2025-11-22,2025-12-25,eu
P0000137,V0003,Customer Success Engineer,2025-10-11,,apac
P0000138,V0003,Enterprise Account Executive,2025-12-24,,remote
P0000139,V0003,Senior Software Engineer,2025-11-16,,apac
P0000140,V0003,Platform Engineer,2025-12-07,,us
P0000141,V0004,Technical Support Engineer,2023-01-10,2023-03-31,eu
P0000142,V0004,Data Engineer,2023-02-21,2023-04-26,remote
P0000143,V0004,Help Desk Analyst,2023-02-23,2023-04-14,apac
P0000144,V0004,Platform Engineer,2023-05-27,2023-08-17,eu
P0000145,V0004,Sales Director,2023-06-24,2023-07-24,us
P0000146,V0004,Support Team Lead,2023-06-14,2023-08-15,eu
P0000147,V0004,Engineering Manager,2023-07-08,2023-10-03,us
P0000148,V0004,Sales Engineer,2023-09-26,2023-10-26,eu
P0000149,V0004,Technical Support Engineer,2023-09-04,2023-10-28,us
P0000150,V0004,Technical Support Engineer,2023-12-01,2024-02-17,us
P0000151,V0004,Sales Development Representative,2023-12-24,2024-02-16,eu
P0000152,V0004,Senior Software Engineer,2023-12-18,2024-02-15,eu
P0000153,V0004,Platform Engineer,2023-12-09,2024-02-24,us
P0000154,V0004,Senior Software Engineer,2024-03-01,2024-04-03,eu
P0000155,V0004,Frontend Engineer,2024-03-12,2024-05-21,eu
P0000156,V0004,Engineering Manager,2024-02-28,2024-05-21,us
P0000157,V0004,Financial Analyst,2024-04-12,2024-06-20,remote
P0000158,V0004,Frontend Engineer,2024-06-10,2024-07-14,apac
P0000159,V0004,Data Analyst,2024-04-16,2024-06-06,remote
P0000160,V0012,Security Engineer,2023-01-22,2023-04-18,remote
P0000161,V0012,Office Manager,2023-01-01,2023-03-27,apac
P0000162,V0012,Help Desk Analyst,2023-03-03,2023-05-13,remote
