descriptor_string,txn_date,amount,panelist_id
PYMT-MOSSLINE,2023-01-02,453.60,PAN03349
PYMT-MOSSLINE,2023-03-16,378.90,PAN00449
PYMT-MOSSLINE,2023-02-05,799.20,PAN03317
PYMT-MOSSLINE,2023-03-12,384.39,PAN00466
PYMT-MOSSLINE,2023-02-09,473.04,PAN03168
PYMT-MOSSLINE,2023-02-25,729.63,PAN02201
PYMT-MOSSLINE,2023-02-09,421.91,PAN02201
PYMT-MOSSLINE,2023-03-04,437.60,PAN03947
PYMT-MOSSLINE,2023-01-05,823.69,PAN02593
PYMT-MOSSLINE,2023-03-15,510.74,PAN03985
PYMT-MOSSLINE,2023-02-02,1406.45,PAN02302
PYMT-MOSSLINE,2023-01-31,406.31,PAN00099
PYMT-MOSSLINE,2023-03-13,446.82,PAN03066
PYMT-MOSSLINE,2023-02-27,632.44,PAN03947
PYMT-MOSSLINE,2023-01-18,686.67,PAN01849
PYMT-MOSSLINE,2023-01-17,812.68,PAN00773
PYMT-MOSSLINE,2023-01-17,295.92,PAN03929
PYMT-MOSSLINE,2023-02-05,687.08,PAN01674
PYMT-MOSSLINE,2023-03-31,292.98,PAN00249
PYMT-MOSSLINE,2023-01-04,495.85,PAN01187
PYMT-MOSSLINE,2023-02-21,810.93,PAN01056
PYMT-MOSSLINE,2023-03-31,1078.60,PAN01584
PYMT-MOSSLINE,2023-03-28,837.01,PAN01329
PYMT-MOSSLINE,2023-02-28,529.04,PAN02465
PYMT-MOSSLINE,2023-01-12,540.37,PAN00036
PYMT-MOSSLINE,2023-02-22,436.51,PAN01370
PYMT-MOSSLINE,2023-02-11,517.78,PAN02465
PYMT-MOSSLINE,2023-02-14,487.25,PAN03985
PYMT-MOSSLINE,2023-02-17,657.90,PAN03168
PYMT-MOSSLINE,2023-03-25,371.45,PAN01329
PYMT-MOSSLINE,2023-03-16,1327.93,PAN01056
PYMT-MOSSLINE,2023-03-27,425.51,PAN03620
PYMT-MOSSLINE,2023-02-20,361.41,PAN01674
PYMT-MOSSLINE,2023-01-30,780.23,PAN02201
PYMT-MOSSLINE,2023-03-12,630.95,PAN03985
PYMT-MOSSLINE,2023-01-06,641.93,PAN00774
PYMT-MOSSLINE,2023-01-31,463.68,PAN01329
PYMT-MOSSLINE,2023-03-07,361.18,PAN02068
PYMT-MOSSLINE,2023-01-28,793.31,PAN03620
PYMT-MOSSLINE,2023-02-14,702.51,PAN03929
PYMT-MOSSLINE,2023-03-17,628.72,PAN03985
PYMT-MOSSLINE,2023-02-18,690.56,PAN01308
PYMT-MOSSLINE,2023-02-01,316.41,PAN03987
PYMT-MOSSLINE,2023-02-18,573.19,PAN00979
