vendor_id,name,segment
V0001,Loomhub,devtools
V0002,Flintwave,devtools
V0003,Flintlabs,devtools
V0004,Kelpyard,devtools
V0005,Sablefield,devtools
V0006,Willowpath,devtools
V0007,Argontrail,devtools
V0008,Rivetpoint,devtools
V0009,Marrowcove,devtools
V0010,Frostsync,devtools
V0011,Yarrowsync,devtools
V0012,Fabletrail,devtools
V0013,Solacezone,devtools
V0014,Sablehub,devtools
V0015,Vectortrail,devtools
V0016,Deltagate,devtools
V0017,Kitestack,devtools
V0018,Kelppeak,devtools
V0019,Kestrelforge,devtools
V0020,Junipersync,devtools
V0021,Gableio,devtools
V0022,Ridgezone,devtools
V0023,Irisnode,devtools
V0024,Marrowline,devtools
V0025,Umbercove,devtools
V0026,Rowanworks,devtools
V0027,Gablesync,devtools
V0028,Wrenworks,devtools
V0029,Amberpath,devtools
V0030,Kestrelmark,devtools
V0031,Fablelabs,devtools
V0032,Nettlebase,devtools
V0033,Corbelcove,devtools
V0034,Mossnode,devtools
V0035,Vantageyard,devtools
V0036,Timbregrid,devtools
V0037,Cascadewave,devtools
V0038,Timbregate,devtools
V0039,Jasperrise,devtools
V0040,Umberfield,devtools
V0041,Rivetflow,devtools
V0042,Yarrowly,devtools
V0043,Rivetmark,devtools
V0044,Ambermark,devtools
V0045,Lumennode,devtools
V0046,Trellispoint,devtools
V0047,Elmyard,devtools
V0048,Embercove,devtools
V0049,Gablebase,devtools
V0050,Meridianbay,devtools
V0051,Pineconecore,devtools
V0052,Pineconebay,devtools
V0053,Cindertrail,devtools
V0054,Lumencore,devtools
V0055,Flintpeak,devtools
V0056,Fablebay,devtools
V0057,Kiterise,devtools
V0058,Wrensync,devtools
V0059,Kestrelpath,devtools
V0060,Flintly,devtools
V0061,Loomcove,devtools
V0062,Umberwave,devtools
V0063,Ledgermark,devtools
V0064,Argonbase,devtools
V0065,Ledgerwave,devtools
V0066,Solaceforge,devtools
V0067,Verveedge,devtools
V0068,Wrendeep,devtools
V0069,Ledgergate,devtools
V0070,Hollowwave,devtools
V0071,Kitedeep,devtools
V0072,Kelpcore,devtools
V0073,Quartzyard,devtools
V0074,Meridianpeak,devtools
V0075,Hollowworks,devtools
V0076,Vantagebay,devtools
V0077,Mossly,devtools
V0078,Onyxlabs,devtools
V0079,Trelliswave,devtools
V0080,Corbelwave,devtools
V0081,Zephyrfield,devtools
V0082,Thistlepoint,devtools
V0083,Pineconeedge,devtools
V0084,Vectorly,devtools
V0085,Quartzpoint,devtools
V0086,Trellisnode,devtools
V0087,Onyxfold,devtools
V0088,Yarrowio,devtools
V0089,Larchlabs,devtools
V0090,Thistlegate,devtools
V0091,Willowwave,data_infrastructure
V0092,Juniperloop,data_infrastructure
V0093,Dappleloop,data_infrastructure
V0094,Quillline,data_infrastructure
V0095,Cascadepeak,data_infrastructure
V0096,Mosslabs,data_infrastructure
V0097,Cascadenode,data_infrastructure
V0098,Vantagetrail,data_infrastructure
V0099,Palletwave,data_infrastructure
V0100,Birchyard,data_infrastructure
V0101,Palletyard,data_infrastructure
V0102,Hollowline,data_infrastructure
V0103,Meridianedge,data_infrastructure
V0104,Ivorymark,data_infrastructure
V0105,Harborspan,data_infrastructure
V0106,Rowantrail,data_infrastructure
V0107,Beaconbay,data_infrastructure
V0108,Zephyredge,data_infrastructure
V0109,Solacepeak,data_infrastructure
V0110,Argonly,data_infrastructure
V0111,Dapplegrid,data_infrastructure
V0112,Corbeledge,data_infrastructure
V0113,Basaltsync,data_infrastructure
V0114,Thistledeep,data_infrastructure
V0115,Ivoryrise,data_infrastructure
V0116,Hollowbase,data_infrastructure
V0117,Juniperforge,data_infrastructure
