vendor_id,quarter,arr_m,headcount,growth
V0001,2023Q1,5.884560,36,0.043148
V0001,2023Q2,6.239418,39,0.060303
V0001,2023Q3,6.609837,41,0.059368
V0001,2023Q4,6.901628,44,0.044145
V0001,2024Q1,7.319357,47,0.060526
V0001,2024Q2,7.651776,51,0.045416
V0001,2024Q3,8.063995,54,0.053872
V0001,2024Q4,8.745063,58,0.084458
V0001,2025Q1,9.047094,62,0.034537
V0001,2025Q2,9.544223,66,0.054949
V0001,2025Q3,10.204077,70,0.069137
V0001,2025Q4,10.695388,75,0.048148
V0002,2023Q1,5.738089,34,0.063369
V0002,2023Q2,6.037381,36,0.052159
V0002,2023Q3,6.506928,38,0.077773
V0002,2023Q4,6.768461,40,0.040193
V0002,2024Q1,7.177356,42,0.060412
V0002,2024Q2,7.557669,45,0.052988
V0002,2024Q3,7.805708,47,0.032819
V0002,2024Q4,8.120367,50,0.040311
V0002,2025Q1,8.450242,53,0.040623
V0002,2025Q2,8.992242,56,0.064140
V0002,2025Q3,9.258575,59,0.029618
V0002,2025Q4,9.613808,63,0.038368
V0003,2023Q1,10.953723,66,0.096912
V0003,2023Q2,11.590143,71,0.058101
V0003,2023Q3,12.543149,75,0.082226
V0003,2023Q4,13.019526,80,0.037979
V0003,2024Q1,13.772714,86,0.057851
V0003,2024Q2,14.573886,91,0.058171
V0003,2024Q3,15.573562,98,0.068594
V0003,2024Q4,16.386124,104,0.052176
V0003,2025Q1,16.697321,111,0.018992
V0003,2025Q2,16.872586,118,0.010497
V0003,2025Q3,17.941982,126,0.063381
V0003,2025Q4,19.158780,135,0.067818
V0004,2023Q1,12.664544,52,-0.007196
V0004,2023Q2,12.349142,53,-0.024904
V0004,2023Q3,12.522461,53,0.014035
V0004,2023Q4,13.138452,54,0.049191
V0004,2024Q1,13.246525,54,0.008226
V0004,2024Q2,13.415969,55,0.012792
V0004,2024Q3,13.802718,55,0.028828
V0004,2024Q4,14.164787,50,0.026232
V0004,2025Q1,12.530481,45,-0.115378
V0004,2025Q2,11.251575,41,-0.102064
V0004,2025Q3,10.291400,38,-0.085337
V0004,2025Q4,9.061707,34,-0.119487
V0005,2023Q1,3.018252,9,0.051840
V0005,2023Q2,3.114902,10,0.032022
V0005,2023Q3,3.246068,10,0.042109
V0005,2023Q4,3.332690,10,0.026685
V0005,2024Q1,3.476634,11,0.043192
V0005,2024Q2,3.624338,11,0.042485
V0005,2024Q3,3.738229,14,0.031424
V0005,2024Q4,3.980583,17,0.064831
V0005,2025Q1,4.905575,21,0.232376
V0005,2025Q2,6.110628,25,0.245650
V0005,2025Q3,7.624240,30,0.247702
V0005,2025Q4,9.285105,37,0.217840
V0006,2023Q1,1.785546,6,0.105710
V0006,2023Q2,1.969359,7,0.102945
V0006,2023Q3,2.106511,7,0.069643
V0006,2023Q4,2.255991,8,0.070961
V0006,2024Q1,2.421872,9,0.073529
V0006,2024Q2,2.586550,9,0.067996
V0006,2024Q3,2.716817,10,0.050363
V0006,2024Q4,2.949172,11,0.085525
V0006,2025Q1,3.214035,11,0.089809
V0006,2025Q2,3.459055,12,0.076234
V0006,2025Q3,3.604137,13,0.041942
V0006,2025Q4,3.764886,14,0.044601
V0007,2023Q1,4.928693,20,0.061581
V0007,2023Q2,5.187223,21,0.052454
V0007,2023Q3,5.343938,21,0.030212
V0007,2023Q4,5.227129,22,-0.021858
V0007,2024Q1,5.146049,23,-0.015511
V0007,2024Q2,5.050092,24,-0.018647
V0007,2024Q3,5.083347,25,0.006585
V0007,2024Q4,5.230256,31,0.028900
V0007,2025Q1,5.866607,38,0.121667
V0007,2025Q2,7.219888,46,0.230675
V0007,2025Q3,8.677143,56,0.201839
V0007,2025Q4,10.912824,69,0.257652
V0008,2023Q1,4.469251,26,0.036110
V0008,2023Q2,4.518179,27,0.010948
V0008,2023Q3,4.690499,28,0.038139
V0008,2023Q4,4.908634,30,0.046506
V0008,2024Q1,5.276801,31,0.075004
V0008,2024Q2,5.696503,32,0.079537
V0008,2024Q3,6.135974,36,0.077147
V0008,2024Q4,6.812887,41,0.110319
V0008,2025Q1,7.738727,45,0.135895
V0008,2025Q2,8.659335,51,0.118961
V0008,2025Q3,9.684544,57,0.118394
V0008,2025Q4,10.596824,64,0.094200
V0009,2023Q1,2.497149,14,0.018425
V0009,2023Q2,2.446690,15,-0.020207
V0009,2023Q3,2.444912,15,-0.000726
V0009,2023Q4,2.534754,15,0.036747
V0009,2024Q1,2.510595,15,-0.009531
V0009,2024Q2,2.482648,16,-0.011132
V0009,2024Q3,2.491615,16,0.003612
V0009,2024Q4,2.368996,15,-0.049213
V0009,2025Q1,2.108190,13,-0.110091
V0009,2025Q2,1.907784,12,-0.095061
V0009,2025Q3,1.688320,11,-0.115036
V0009,2025Q4,1.531757,10,-0.092733
V0010,2023Q1,1.540438,6,0.054795
V0010,2023Q2,1.644449,7,0.067520
V0010,2023Q3,1.800604,8,0.094959
V0010,2023Q4,1.951105,8,0.083584
V0010,2024Q1,2.126986,9,0.090145
V0010,2024Q2,2.334567,10,0.097594
V0010,2024Q3,2.530144,10,0.083774
V0010,2024Q4,2.786280,11,0.101233
V0010,2025Q1,3.059407,12,0.098026
V0010,2025Q2,3.270262,13,0.068920
V0010,2025Q3,3.547107,14,0.084656
V0010,2025Q4,3.899677,15,0.099396
V0011,2023Q1,7.094492,42,0.028891
V0011,2023Q2,7.407744,43,0.044154
V0011,2023Q3,7.926776,45,0.070066
V0011,2023Q4,8.404019,47,0.060206
V0011,2024Q1,9.029060,49,0.074374
V0011,2024Q2,9.785731,51,0.083804
V0011,2024Q3,10.390466,54,0.061798
V0011,2024Q4,11.063296,56,0.064755
V0011,2025Q1,11.585808,58,0.047229
V0011,2025Q2,12.346507,61,0.065658
V0011,2025Q3,12.984945,63,0.051710
V0011,2025Q4,13.446794,66,0.035568
V0012,2023Q1,15.300038,90,0.032496
V0012,2023Q2,15.877318,93,0.037731
V0012,2023Q3,16.000489,95,0.007758
V0012,2023Q4,16.049284,97,0.003050
V0012,2024Q1,16.385297,100,0.020936
V0012,2024Q2,16.914840,102,0.032318
V0012,2024Q3,17.424336,105,0.030121
V0012,2024Q4,18.818355,108,0.080004
V0012,2025Q1,20.223674,110,0.074678
V0012,2025Q2,21.197283,133,0.048142
V0012,2025Q3,23.531021,159,0.110096
V0012,2025Q4,29.224149,192,0.241941
V0013,2023Q1,1.454584,8,0.049316
V0013,2023Q2,1.587531,9,0.091399
V0013,2023Q3,1.640011,9,0.033057
V0013,2023Q4,1.757430,10,0.071597
V0013,2024Q1,1.857332,10,0.056845
V0013,2024Q2,1.912965,9,0.029953
V0013,2024Q3,1.779302,8,-0.069872
V0013,2024Q4,1.656323,8,-0.069117
V0013,2025Q1,1.574186,7,-0.049590
V0013,2025Q2,1.478555,7,-0.060749
V0013,2025Q3,1.409198,6,-0.046909
V0013,2025Q4,1.320881,6,-0.062672
V0014,2023Q1,9.585602,46,0.090645
V0014,2023Q2,10.379799,50,0.082853
V0014,2023Q3,11.278993,55,0.086629
V0014,2023Q4,12.611948,60,0.118180
V0014,2024Q1,13.662858,66,0.083327
V0014,2024Q2,14.429442,72,0.056107
V0014,2024Q3,15.516759,79,0.075354
V0014,2024Q4,17.364133,87,0.119057
V0014,2025Q1,19.589642,95,0.128167
V0014,2025Q2,22.298075,104,0.138258
V0014,2025Q3,25.461680,114,0.141878
V0014,2025Q4,28.112506,125,0.104110
V0015,2023Q1,6.139426,34,0.043976
V0015,2023Q2,6.522606,36,0.062413
V0015,2023Q3,6.707579,38,0.028359
V0015,2023Q4,6.716100,45,0.001270
V0015,2024Q1,7.018768,53,0.045066
V0015,2024Q2,8.145122,62,0.160478
V0015,2024Q3,9.734251,74,0.195102
V0015,2024Q4,12.078591,87,0.240834
V0015,2025Q1,14.984867,103,0.240614
V0015,2025Q2,17.706177,121,0.181604
V0015,2025Q3,20.114896,144,0.136038
V0015,2025Q4,23.387606,170,0.162701
V0016,2023Q1,5.554388,32,0.039031
V0016,2023Q2,5.802442,34,0.044659
V0016,2023Q3,6.053346,36,0.043241
V0016,2023Q4,6.395363,42,0.056500
V0016,2024Q1,7.172271,50,0.121480
V0016,2024Q2,8.646263,60,0.205513
V0016,2024Q3,10.493631,71,0.213661
V0016,2024Q4,13.039689,85,0.242629
V0016,2025Q1,15.606453,101,0.196842
V0016,2025Q2,18.313660,120,0.173467
V0016,2025Q3,21.847349,143,0.192954
V0016,2025Q4,26.863372,170,0.229594
V0017,2023Q1,12.434042,58,0.064980
V0017,2023Q2,13.037994,61,0.048572
V0017,2023Q3,13.883962,63,0.064885
V0017,2023Q4,14.470163,66,0.042221
V0017,2024Q1,15.294250,69,0.056951
V0017,2024Q2,16.193066,72,0.058768
V0017,2024Q3,17.159792,75,0.059700
V0017,2024Q4,18.529995,78,0.079850
V0017,2025Q1,20.082639,81,0.083791
V0017,2025Q2,21.136442,84,0.052473
V0017,2025Q3,22.542917,88,0.066543
V0017,2025Q4,23.037376,92,0.021934
V0018,2023Q1,48.018507,162,0.115758
V0018,2023Q2,53.857705,179,0.121603
V0018,2023Q3,60.088351,197,0.115687
V0018,2023Q4,67.789076,218,0.128157
V0018,2024Q1,75.163300,240,0.108782
V0018,2024Q2,84.302727,265,0.121594
V0018,2024Q3,93.508463,292,0.109199
V0018,2024Q4,102.858979,323,0.099996
V0018,2025Q1,113.804157,323,0.106410
V0018,2025Q2,121.748864,321,0.069810
V0018,2025Q3,117.339720,319,-0.036215
V0018,2025Q4,120.063432,318,0.023212
V0019,2023Q1,5.704424,23,0.054144
V0019,2023Q2,6.240043,25,0.093895
V0019,2023Q3,6.812003,27,0.091660
V0019,2023Q4,7.460570,29,0.095209
V0019,2024Q1,8.259166,32,0.107042
V0019,2024Q2,8.927490,34,0.080919
V0019,2024Q3,9.167528,37,0.026888
V0019,2024Q4,9.687807,41,0.056752
V0019,2025Q1,10.448557,44,0.078527
V0019,2025Q2,11.541760,48,0.104627
V0019,2025Q3,12.493790,52,0.082486
V0019,2025Q4,13.508517,56,0.081219
V0020,2023Q1,11.928764,83,0.065616
V0020,2023Q2,12.704658,89,0.065044
V0020,2023Q3,13.655534,95,0.074845
V0020,2023Q4,14.402848,102,0.054726
V0020,2024Q1,15.789377,109,0.096268
V0020,2024Q2,16.845796,117,0.066907
V0020,2024Q3,18.048432,125,0.071391
V0020,2024Q4,19.245320,133,0.066315
V0020,2025Q1,20.326960,143,0.056203
V0020,2025Q2,21.871878,153,0.076003
V0020,2025Q3,23.958823,163,0.095417
V0020,2025Q4,26.690426,175,0.114012
V0021,2023Q1,1.496325,8,0.052734
V0021,2023Q2,1.609584,9,0.075691
V0021,2023Q3,1.675603,10,0.041016
V0021,2023Q4,1.765310,10,0.053537
V0021,2024Q1,1.887562,11,0.069252
V0021,2024Q2,2.034653,11,0.077927
V0021,2024Q3,2.132143,12,0.047915
V0021,2024Q4,2.187490,13,0.025958
V0021,2025Q1,2.358409,13,0.078135
V0021,2025Q2,2.501630,14,0.060728
V0021,2025Q3,2.574871,15,0.029278
V0021,2025Q4,2.630681,16,0.021675
V0022,2023Q1,0.901986,4,0.062909
V0022,2023Q2,0.971216,4,0.076753
V0022,2023Q3,1.033527,4,0.064157
V0022,2023Q4,1.098366,5,0.062736
V0022,2024Q1,1.177718,5,0.072246
V0022,2024Q2,1.236323,5,0.049761
V0022,2024Q3,1.300528,5,0.051933
V0022,2024Q4,1.351651,5,0.039309
V0022,2025Q1,1.389478,5,0.027986
V0022,2025Q2,1.393044,5,0.002567
V0022,2025Q3,1.242433,4,-0.108117
V0022,2025Q4,1.118360,4,-0.099863
V0023,2023Q1,10.618318,45,0.113479
V0023,2023Q2,12.120201,50,0.141443
V0023,2023Q3,13.757518,57,0.135090
V0023,2023Q4,15.571151,63,0.131829
V0023,2024Q1,18.087074,71,0.161576
V0023,2024Q2,19.633901,80,0.085521
V0023,2024Q3,21.263245,90,0.082986
V0023,2024Q4,22.308449,101,0.049155
V0023,2025Q1,24.245707,113,0.086840
V0023,2025Q2,27.022741,113,0.114537
V0023,2025Q3,29.364708,111,0.086667
V0023,2025Q4,29.262251,110,-0.003489
V0024,2023Q1,5.504871,23,0.147963
V0024,2023Q2,6.212643,27,0.128572
V0024,2023Q3,7.142510,31,0.149673
V0024,2023Q4,8.156426,35,0.141955
V0024,2024Q1,9.289262,41,0.138889
V0024,2024Q2,10.686930,41,0.150461
V0024,2024Q3,11.802102,40,0.104349
V0024,2024Q4,11.593915,40,-0.017640
V0024,2025Q1,11.766798,40,0.014912
V0024,2025Q2,11.602676,40,-0.013948
V0024,2025Q3,11.246510,40,-0.030697
V0024,2025Q4,11.127299,40,-0.010600
V0025,2023Q1,5.414606,26,-0.000377
V0025,2023Q2,5.440753,26,0.004829
V0025,2023Q3,5.415208,27,-0.004695
V0025,2023Q4,5.246334,27,-0.031185
V0025,2024Q1,5.263315,27,0.003237
V0025,2024Q2,5.057112,25,-0.039177
V0025,2024Q3,4.644099,23,-0.081670
V0025,2024Q4,4.369696,22,-0.059086
V0025,2025Q1,4.099020,20,-0.061944
V0025,2025Q2,4.062050,19,-0.009019
V0025,2025Q3,3.796385,18,-0.065402
V0025,2025Q4,3.490470,17,-0.080581
V0026,2023Q1,25.004281,117,0.105384
V0026,2023Q2,27.179985,127,0.087013
V0026,2023Q3,28.651953,137,0.054156
V0026,2023Q4,31.208130,147,0.089215
V0026,2024Q1,33.250106,159,0.065431
V0026,2024Q2,35.510927,171,0.067994
V0026,2024Q3,38.737457,184,0.090860
V0026,2024Q4,41.497937,199,0.071261
V0026,2025Q1,44.228596,214,0.065802
V0026,2025Q2,47.848730,231,0.081851
V0026,2025Q3,51.486832,249,0.076033
V0026,2025Q4,55.756056,268,0.082919
V0027,2023Q1,11.298730,97,0.050892
V0027,2023Q2,11.641445,102,0.030332
V0027,2023Q3,11.766293,107,0.010724
V0027,2023Q4,12.556679,113,0.067174
V0027,2024Q1,13.427594,119,0.069359
V0027,2024Q2,14.497597,125,0.079687
V0027,2024Q3,15.181187,132,0.047152
V0027,2024Q4,15.935081,139,0.049660
V0027,2025Q1,16.689934,147,0.047371
V0027,2025Q2,17.055658,154,0.021913
V0027,2025Q3,17.883262,162,0.048524
V0027,2025Q4,18.535252,171,0.036458
V0028,2023Q1,1.288593,10,0.055696
V0028,2023Q2,1.405559,11,0.090770
V0028,2023Q3,1.551217,12,0.103630
V0028,2023Q4,1.710562,13,0.102723
V0028,2024Q1,1.840965,14,0.076234
V0028,2024Q2,1.970563,15,0.070397
V0028,2024Q3,2.172926,16,0.102693
V0028,2024Q4,2.366031,17,0.088868
V0028,2025Q1,2.585666,19,0.092828
V0028,2025Q2,2.824283,21,0.092285
V0028,2025Q3,3.013017,22,0.066825
V0028,2025Q4,3.335265,24,0.106952
V0029,2023Q1,3.207289,18,0.089221
V0029,2023Q2,3.480776,20,0.085270
V0029,2023Q3,3.664176,22,0.052689
V0029,2023Q4,3.940442,24,0.075397
V0029,2024Q1,4.297103,26,0.090513
V0029,2024Q2,4.678262,28,0.088701
V0029,2024Q3,5.006709,30,0.070207
V0029,2024Q4,5.439865,33,0.086515
V0029,2025Q1,6.027175,35,0.107964
V0029,2025Q2,6.634821,38,0.100818
V0029,2025Q3,7.479438,42,0.127301
