vendor_id,segment,quarter,jobs_status,jobs_new_postings,web_status,web_months_observed,spend_status,spend_txn_count,tier,tier_reason
V0001,devtools,2023Q1,untracked,0,absent,0,present,23,C,below_traffic_floor
V0001,devtools,2023Q2,untracked,0,absent,0,present,33,C,below_traffic_floor
V0001,devtools,2023Q3,untracked,0,absent,0,present,41,C,below_traffic_floor
V0001,devtools,2023Q4,untracked,0,absent,0,present,37,C,below_traffic_floor
V0001,devtools,2024Q1,untracked,0,absent,0,present,34,C,below_traffic_floor
V0001,devtools,2024Q2,untracked,0,absent,0,present,35,C,below_traffic_floor
V0001,devtools,2024Q3,untracked,0,absent,0,present,36,C,below_traffic_floor
V0001,devtools,2024Q4,untracked,0,absent,0,present,29,C,below_traffic_floor
V0001,devtools,2025Q1,untracked,0,absent,0,present,42,C,below_traffic_floor
V0001,devtools,2025Q2,untracked,0,absent,0,present,47,C,below_traffic_floor
V0001,devtools,2025Q3,untracked,0,absent,0,present,54,C,below_traffic_floor
V0001,devtools,2025Q4,untracked,0,absent,0,present,56,C,below_traffic_floor
V0002,devtools,2023Q1,untracked,0,present,3,present,40,B,untracked_jobs
V0002,devtools,2023Q2,untracked,0,present,3,present,46,B,untracked_jobs
V0002,devtools,2023Q3,untracked,0,present,3,present,44,B,untracked_jobs
V0002,devtools,2023Q4,untracked,0,present,3,present,46,B,untracked_jobs
V0002,devtools,2024Q1,untracked,0,present,3,present,38,B,untracked_jobs
V0002,devtools,2024Q2,untracked,0,present,3,present,42,B,untracked_jobs
V0002,devtools,2024Q3,untracked,0,present,3,present,58,B,untracked_jobs
V0002,devtools,2024Q4,untracked,0,present,3,present,52,B,untracked_jobs
V0002,devtools,2025Q1,untracked,0,present,3,present,52,B,untracked_jobs
V0002,devtools,2025Q2,untracked,0,present,3,present,65,B,untracked_jobs
V0002,devtools,2025Q3,untracked,0,present,3,present,78,B,untracked_jobs
V0002,devtools,2025Q4,untracked,0,present,3,present,102,B,untracked_jobs
V0003,devtools,2023Q1,tracked_active,9,present,3,present,56,A,full
V0003,devtools,2023Q2,tracked_active,11,present,3,present,41,A,full
V0003,devtools,2023Q3,tracked_active,12,present,3,present,52,A,full
V0003,devtools,2023Q4,tracked_active,11,present,3,present,57,A,full
V0003,devtools,2024Q1,tracked_zero,0,absent,0,present,0,B,below_traffic_floor
V0003,devtools,2024Q2,tracked_zero,0,absent,0,absent,0,C,post_shutdown_dark
V0003,devtools,2024Q3,tracked_zero,0,absent,0,absent,0,C,no_spend_channel
V0003,devtools,2024Q4,tracked_zero,0,absent,0,absent,0,C,no_spend_channel
V0003,devtools,2025Q1,tracked_zero,0,absent,0,absent,0,C,no_spend_channel
V0003,devtools,2025Q2,tracked_zero,0,absent,0,absent,0,C,no_spend_channel
V0003,devtools,2025Q3,tracked_zero,0,absent,0,absent,0,C,no_spend_channel
V0003,devtools,2025Q4,tracked_zero,0,absent,0,absent,0,C,no_spend_channel
V0004,devtools,2023Q1,untracked,0,present,3,absent,0,C,no_spend_channel
V0004,devtools,2023Q2,untracked,0,present,3,absent,0,C,no_spend_channel
V0004,devtools,2023Q3,untracked,0,present,3,absent,0,C,no_spend_channel
V0004,devtools,2023Q4,untracked,0,present,3,absent,0,C,no_spend_channel
V0004,devtools,2024Q1,untracked,0,present,3,absent,0,C,no_spend_channel
V0004,devtools,2024Q2,untracked,0,present,3,absent,0,C,no_spend_channel
V0004,devtools,2024Q3,untracked,0,present,3,absent,0,C,no_spend_channel
V0004,devtools,2024Q4,untracked,0,present,3,absent,0,C,no_spend_channel
V0004,devtools,2025Q1,untracked,0,present,3,absent,0,C,no_spend_channel
V0004,devtools,2025Q2,untracked,0,present,3,absent,0,C,no_spend_channel
V0004,devtools,2025Q3,untracked,0,present,3,absent,0,C,no_spend_channel
V0004,devtools,2025Q4,untracked,0,present,3,absent,0,C,no_spend_channel
V0005,devtools,2023Q1,untracked,0,present,3,absent,0,C,no_spend_channel
V0005,devtools,2023Q2,untracked,0,present,3,absent,0,C,no_spend_channel
V0005,devtools,2023Q3,untracked,0,present,3,absent,0,C,no_spend_channel
V0005,devtools,2023Q4,untracked,0,present,3,absent,0,C,no_spend_channel
V0005,devtools,2024Q1,untracked,0,present,3,absent,0,C,no_spend_channel
V0005,devtools,2024Q2,untracked,0,present,3,absent,0,C,no_spend_channel
V0005,devtools,2024Q3,untracked,0,present,3,absent,0,C,no_spend_channel
V0005,devtools,2024Q4,untracked,0,present,3,absent,0,C,no_spend_channel
V0005,devtools,2025Q1,untracked,0,present,3,absent,0,C,no_spend_channel
V0005,devtools,2025Q2,untracked,0,present,3,absent,0,C,no_spend_channel
V0005,devtools,2025Q3,untracked,0,present,3,absent,0,C,no_spend_channel
V0005,devtools,2025Q4,untracked,0,present,3,absent,0,C,no_spend_channel
