vendor_id,quarter,tier,composite,accel_flag,stall_flag
V0001,2023Q4,C,32.69230769230769,False,True
V0001,2025Q1,C,65.0,True,False
V0001,2025Q2,C,32.0,False,True
V0001,2025Q3,C,73.0,True,False
V0001,2025Q4,C,35.0,False,True
V0002,2024Q2,B,25.010283833813247,False,True
V0002,2024Q3,B,65.1417004048583,True,False
V0002,2024Q4,B,29.10121457489879,False,True
V0002,2025Q2,B,58.412955465587046,True,False
V0002,2025Q4,B,84.66666666666666,True,False
V0003,2023Q3,A,26.591641075574863,False,True
V0003,2023Q4,A,61.71992821720522,True,False
V0003,2024Q1,B,13.953488372093023,False,True
V0004,2024Q1,C,35.8974358974359,False,True
V0004,2024Q3,C,58.55263157894737,True,False
V0004,2024Q4,C,30.921052631578945,False,True
V0004,2025Q1,C,62.5,True,False
V0004,2025Q4,C,73.66666666666667,True,False
V0005,2023Q3,C,66.77215189873417,True,False
V0005,2024Q1,C,32.05128205128205,False,True
V0005,2024Q4,C,65.13157894736842,True,False
V0005,2025Q1,C,74.34210526315789,True,False
V0005,2025Q2,C,42.10526315789474,False,True
V0006,2025Q1,B,15.149797570850202,False,True
V0006,2025Q4,B,85.8974358974359,True,False
V0007,2023Q4,C,57.91139240506329,True,False
V0007,2024Q3,C,38.15789473684211,False,True
V0007,2025Q2,C,67.76315789473684,True,False
V0007,2025Q3,C,30.333333333333336,False,True
V0007,2025Q4,C,72.33333333333333,True,False
V0008,2023Q4,A,12.767062566517966,False,True
V0008,2024Q1,A,57.804816023010275,True,False
V0008,2024Q2,A,60.408620107662514,True,False
V0008,2024Q3,A,74.2391676866585,True,False
V0008,2025Q2,A,37.45275397796817,False,True
V0009,2024Q2,A,58.46749693534919,True,False
V0010,2023Q3,C,25.632911392405063,False,True
V0010,2024Q1,C,66.66666666666666,True,False
V0011,2024Q3,B,34.793522267206484,False,True
V0011,2024Q4,B,67.1255060728745,True,False
V0011,2025Q1,B,33.554655870445345,False,True
V0011,2025Q2,B,81.46558704453442,True,False
V0012,2024Q4,C,35.526315789473685,False,True
V0012,2025Q1,C,69.73684210526315,True,False
V0012,2025Q4,C,25.666666666666668,False,True
V0013,2023Q3,A,57.82900157291589,True,False
V0013,2023Q4,A,73.43326124861304,True,False
V0013,2024Q1,A,25.940229401241712,False,True
V0013,2024Q2,A,25.217456961643006,False,True
