vendor_id,event_quarter,event_type,source,present,detected,detected_quarter,lead_vs_regime_change,lead_vs_revenue_realization
V0004,2024Q3,stall,jobs,True,True,2024Q2,1.0,3.0
V0004,2024Q3,stall,web,True,True,2024Q2,1.0,3.0
V0004,2024Q3,stall,spend,False,False,,,
V0005,2024Q3,acceleration,jobs,False,False,,,
V0005,2024Q3,acceleration,web,True,True,2024Q2,1.0,3.0
V0005,2024Q3,acceleration,spend,False,False,,,
V0007,2024Q4,acceleration,jobs,False,False,,,
V0007,2024Q4,acceleration,web,True,True,2024Q2,2.0,4.0
V0007,2024Q4,acceleration,spend,True,True,2024Q3,1.0,3.0
V0009,2024Q3,stall,jobs,False,False,,,
V0009,2024Q3,stall,web,True,True,2024Q1,2.0,4.0
V0009,2024Q3,stall,spend,False,False,,,
V0012,2025Q2,acceleration,jobs,True,True,2024Q4,2.0,4.0
V0012,2025Q2,acceleration,web,True,True,2024Q4,2.0,4.0
V0012,2025Q2,acceleration,spend,True,True,2025Q1,1.0,3.0
V0013,2024Q1,stall,jobs,False,False,,,
V0013,2024Q1,stall,web,False,False,,,
V0013,2024Q1,stall,spend,True,True,2024Q1,0.0,2.0
V0015,2023Q4,acceleration,jobs,False,False,,,
V0015,2023Q4,acceleration,web,True,True,2023Q4,0.0,2.0
V0015,2023Q4,acceleration,spend,True,True,2023Q4,0.0,2.0
V0016,2023Q4,acceleration,jobs,False,False,,,
V0016,2023Q4,acceleration,web,True,True,2024Q1,-1.0,1.0
V0016,2023Q4,acceleration,spend,True,True,2024Q1,-1.0,1.0
V0018,2025Q1,stall,jobs,True,True,2024Q3,2.0,4.0
V0018,2025Q1,stall,web,True,True,2025Q4,-3.0,-1.0
V0018,2025Q1,stall,spend,False,False,,,
V0022,2025Q1,stall,jobs,False,False,,,
V0022,2025Q1,stall,web,True,True,2024Q4,1.0,3.0
V0022,2025Q1,stall,spend,True,True,2024Q3,2.0,4.0
V0023,2025Q2,stall,jobs,False,False,,,
V0023,2025Q2,stall,web,True,True,2024Q4,2.0,4.0
V0023,2025Q2,stall,spend,False,False,,,
V0024,2024Q2,stall,jobs,True,True,2024Q2,0.0,2.0
V0024,2024Q2,stall,web,False,False,,,
V0024,2024Q2,stall,spend,True,True,2024Q2,0.0,2.0
V0033,2024Q3,stall,jobs,True,False,,,
V0033,2024Q3,stall,web,True,False,,,
V0033,2024Q3,stall,spend,True,True,2024Q1,2.0,4.0
V0034,2025Q2,stall,jobs,True,True,2025Q1,1.0,3.0
V0034,2025Q2,stall,web,True,True,2024Q4,2.0,4.0
V0034,2025Q2,stall,spend,True,True,2025Q4,-2.0,0.0
V0035,2024Q3,stall,jobs,False,False,,,
V0035,2024Q3,stall,web,True,True,2024Q2,1.0,3.0
V0035,2024Q3,stall,spend,False,False,,,
V0038,2024Q2,stall,jobs,True,True,2024Q2,0.0,2.0
V0038,2024Q2,stall,web,True,True,2024Q3,-1.0,1.0
V0038,2024Q2,stall,spend,False,False,,,
V0039,2025Q2,stall,jobs,False,False,,,
V0039,2025Q2,stall,web,True,True,2024Q4,2.0,4.0
V0039,2025Q2,stall,spend,False,False,,,
V0040,2024Q2,acceleration,jobs,True,True,2024Q2,0.0,2.0
V0040,2024Q2,acceleration,web,True,True,2023Q4,2.0,4.0
V0040,2024Q2,acceleration,spend,True,True,2024Q1,1.0,3.0
V0041,2025Q1,stall,jobs,False,False,,,
V0041,2025Q1,stall,web,False,False,,,
V0041,2025Q1,stall,spend,True,True,2024Q4,1.0,3.0
V0041,2025Q3,stall,jobs,False,False,,,
