vendor_id,quarter,segment,arr_estimate_m,level_band,level_method
V0001,2023Q1,devtools,6.078522,3-10M,spend
V0001,2023Q2,devtools,9.546646,3-10M,spend
V0001,2023Q3,devtools,11.752652,10-30M,spend
V0001,2023Q4,devtools,9.628066,3-10M,spend
V0001,2024Q1,devtools,10.061928,10-30M,spend
V0001,2024Q2,devtools,9.552976,3-10M,spend
V0001,2024Q3,devtools,9.38696,3-10M,spend
V0001,2024Q4,devtools,8.845976,3-10M,spend
V0001,2025Q1,devtools,13.906048,10-30M,spend
V0001,2025Q2,devtools,12.684006,10-30M,spend
V0001,2025Q3,devtools,17.845118,10-30M,spend
V0001,2025Q4,devtools,17.25783,10-30M,spend
V0002,2023Q1,devtools,13.538542000000001,10-30M,spend
V0002,2023Q2,devtools,16.760966,10-30M,spend
V0002,2023Q3,devtools,16.059976,10-30M,spend
V0002,2023Q4,devtools,16.071067999999997,10-30M,spend
V0002,2024Q1,devtools,14.858917999999997,10-30M,spend
V0002,2024Q2,devtools,13.6366,10-30M,spend
V0002,2024Q3,devtools,19.13298,10-30M,spend
V0002,2024Q4,devtools,18.732816,10-30M,spend
V0002,2025Q1,devtools,17.535612,10-30M,spend
V0002,2025Q2,devtools,22.056778,10-30M,spend
V0002,2025Q3,devtools,27.804552,10-30M,spend
V0002,2025Q4,devtools,35.348176,30-100M,spend
V0003,2023Q1,devtools,11.796632,10-30M,spend
V0003,2023Q2,devtools,9.947698,3-10M,spend
V0003,2023Q3,devtools,10.769758,10-30M,spend
V0003,2023Q4,devtools,12.426462,10-30M,spend
V0003,2024Q1,devtools,0.0,<1M,jobs
V0003,2024Q2,devtools,0.0,<1M,jobs
V0003,2024Q3,devtools,0.0,<1M,jobs
V0003,2024Q4,devtools,0.0,<1M,jobs
V0003,2025Q1,devtools,0.0,<1M,jobs
V0003,2025Q2,devtools,0.0,<1M,jobs
V0003,2025Q3,devtools,0.0,<1M,jobs
V0003,2025Q4,devtools,0.0,<1M,jobs
V0004,2023Q1,devtools,0.187648,<1M,web
V0004,2023Q2,devtools,0.207488,<1M,web
V0004,2023Q3,devtools,0.2336,<1M,web
V0004,2023Q4,devtools,0.260992,<1M,web
V0004,2024Q1,devtools,0.268032,<1M,web
V0004,2024Q2,devtools,0.2592,<1M,web
V0004,2024Q3,devtools,0.272384,<1M,web
V0004,2024Q4,devtools,0.247104,<1M,web
V0004,2025Q1,devtools,0.310272,<1M,web
V0004,2025Q2,devtools,0.3232,<1M,web
V0004,2025Q3,devtools,0.337536,<1M,web
V0004,2025Q4,devtools,0.483328,<1M,web
V0005,2023Q1,devtools,0.586624,<1M,web
V0005,2023Q2,devtools,0.594816,<1M,web
V0005,2023Q3,devtools,0.676736,<1M,web
V0005,2023Q4,devtools,0.704768,<1M,web
V0005,2024Q1,devtools,0.684928,<1M,web
V0005,2024Q2,devtools,0.620544,<1M,web
